"";"."
"1";"PELO AMOR DE DEUS TIRA ESSA CEBOLA DA COMIDA CEBOLA NAO E DE DEUS"
"2";"DRA. FABIANA CÁRDIO, TARTARUGA NO ATENDIMENTO / AUTORITÁRIA / MUITO LENTA"
"3";"PARA MARCAR NA SALA DE PROCEDIMENTO AGUARDEI NA PORTA DA SALA MAIS DE 30 MINUTOS.SEGUNDO INFORMAÇOES O FUNCIONÁRIO ESTAVA NO HORARIO DE LANCHE. MAIS DE 30 MINUTOS AGUARDANDO E ATE ESTE MOMENTO NAO FUI ATENDIDO."
"4";"O TEMPO DE ESPERA ESTÁ SENDO SUPERIOR AO PERMITIDO, NO ENTANTO, O TEMPO DA CONSULTA DO PCTE COM O MÉDICO(A).ESTOU NO HOSPITAL DESTE O 12:00 E ELA DESAPARECE E JÁ SAO 16:00HS."
"5";"CHEGUEI 9HS DA MANHA IMPLORANDO UMA RECEITA...4 HS DA TARDE SEM RESULTADO A MEDICA NALZIRA NEM SEQUER, OLHA PRO PACIENTE. ISSO E HUMILHAÇAO."
"6";"FUI MAL ATENDIDA PELA MEDICA DE PLANTAO SOU FUNCIONARIA DO CONDOMINIO SOLIDARIEDADE ME ACIDENTEI COM PTE HIV- DRA. CASSIA DIZER QUE NAO PODE FAZER NADA O PROBLEMA N E DELA"
"7";"TUDO BOM MENOS O BANHEIRO DA ENFERMARIA (15A) PEDIATRIA"
"8";"SOBRE A TROCA DE PLANTAO DA ENFERMAGEM, TIVE ALGUMAS DIFICULDADES, ERRO NA MEDICAÇAO DEVIDO A NOMES PARECIDOS E ERROS DE MEDICAÇAO INFORMADA PELO MEDICO E NA HORA DA ADMINISTRAÇAO DIFERENTE FIQUEI INSEGURA DEVIDO ISSO."
"9";"FUNCIONARIOS SO NO CELULAR NAO ATENDE DIREITO"
"10";"NEM UMA"
"11";"CONSERTAR A TV É BOM ASSISTIR NOTÍCIA"
"12";"NAO TEM"
"13";"INFORMAR ANTES DE CHEGAR PARA CONSULTA QUE TEM QUE TIRAR COPIAS DOS DOCUMENTOS"
"14";"MAIOR RAPIDEZ NOS ATENDIMENTOS A ESPERA É MUITO DEMORADA."
"15";"NAO"
"16";"AVISAR O PACIENTE, QUANDO 1 DOUTORES NAO VER.(FALTAR)"
"17";"Dr PEDRO É MUITO SEM EDUCAÇAO NUNCA FUI TAO OFENDIDA E MATRADADA PELO UM MEDICO GOSTARIA MUITO QUE ESSE MEDICO NAO TRABALHASSE MAIS NESSE HOSPITAL PORQUE ELE É UM PESCIMO MEDICO"
"18";"PONTUALIDADE NOS ATENDIMENTOS COM HORARIO AGENDADOS"
"19";"NAO TENHO NADA PARA RECLAMAR NAO"
"20";"SO RETORNO E MUITO DEMORADA PODERIA MENOS TEMPO."
"21";"MUITO DEMORADO MINHA CONSULTA ESTAVA MARCADA PARA 08:00HS E 09:30HS EU AINDA ESTAVA ESPERANDO, SEM A MENOR IDEIA DE QUANDO VOU SER ATENDIDO.10:40HS E NADA"
"22";"QUE AS CONSULTAS SEJAM MAIS PROXIMA"
"23";"PORÉM DR EDVALDO É UM POÇO DE DESORGANIZAÇAO ALÉM DE SER UM PÉSSIMO PROFISSIONAL NAO FAZ EXAME FISÍCO, NAO PEDE EXAMES COMPLEMENTARES NAO OLHA NA ""CARA DO PACIENTE"" ATENDE O CELULAR DURANTE O ATENDIMENTO DENTRE OUTROS"
"24";"DEVERIAM CONTRATAR MAIS GENECOLOGISTAS"
"25";"FIQUEI COM DÓ DE UMA SENHORA QUE VEIO DE CALDAS PARA PEGAR O CHEC-IN E VOLTOU DE MAOS VAZIAS"
