"";"."
"1";"ELI FOI UMA OTIMA ASSISTENTE ESTA DE PARABÉNS QUE CONTINUE SEMPRE ASSIM QUE DEUS ABENÇOE"
"2";"DONA ELY OTIMA ATENDENTE NOTA 10"
"3";"A MINHA SUGETOES COM A D. ELI É OTIMA.MUITO ATENCIOSA EDUCADA - PACIENTE E COM AJUDA DELA HOJE MEU IRMAO, NAO FICA SEM O SEU REMÉDIO SOU GRATA E AGRADEÇO A ELA: MUITO CARIDOSA"
"4";"QUE EXISTISSEM MAIS HOSPITAIS COM ESSA ESTRUTURA EM OUTRAS CIDADES DO PAÍS"
"5";"FOMOS BEM ATENDIDOS. AS MENINAS DO SERVIÇO SOCIAL MUITO LEGAL, PRESTATIVAS. PARABÉNS."
"6";"PESSOAL MUITO EDUCADO"
"7";"CHEGUEI COM CRISE DE PÂNICO PORQUE N QUERIA FICAR NO HOSPITAL. A ENFERMEIRA CHEFE ME ACALMOU E ME TRATOU MELHOR DO QUE TODOS HOSPITAIS QUE JÁ FUI. (ENFERMEIRA RAQUEL)."
"8";"SÓ AGRADECER E PEDIR A DEUS QUE CONTINUE ABENÇOANDO A TODA EQUIPE DO HOSPITAL"
"9";"Muito obrigado por tudo, agradeso a todos pela atençao nao tenho nada de reclamar de ninguém sao todos otimos, amei o atendimento e a dedicasao desse hospital"
"10";"Fiquei 73 dias internado no antigo JK que deu origem a este hospital HDT e naquele tempo favoreceu qualidade. Fui internado com tuberculose, fiquei isolado. Fui internado dia 04 de março de 1974. Oro todos os dias para que Deus abençoe a todos pelo empenho e dedicaçao a nossa sociedade. Que Deus possa retribuir tudo de bom que voces tem feito pelo nosso povo. Desde o governador do estado até o mais simples funcionário desta Instituiçao. Sou pastor evangelico da Igreja Assembleia de Deus Ministerio Jardim América e dirijo a congregaçao de no72 no Bairro Sao Domingos em Goianira, onde também resido. Por estar naquela ocasiao em quem me converti ao evangelho, estudando a bíblia enquanto me curava da tuberculose. Desde quando recebi alta, me envolvi a pregaçao do evangelho."
"11";"EXCELENTE"
"12";"GOSTARIA DE RESALTAR QUE FUNCIONÁRIA IVONETE ESTA DE PARABÉNS PELO SEU EXELENTE ATENDIMENTO, SEMPRE DISPOSTO A RESOLVER NOSSOS PROBLEMAS."
"13";"ACHEI BOM ATÉ O MOMENTO QUE ESTIVE AQUI"
"14";"SO TENHO O QUE AGRADECER"
"15";"ATENDIMENTO OK"
"16";"MUITO BOM O ATENDIMENTO"
"17";"PASSA AS INFORMAÇOES CERTAS. ***OBS:  os atendnentes"
"18";"ÓTIMO"
"19";"TEMOS SIM UM ÓTIMO ATENDIMENTO"
"20";"OTIMA"
"21";"DECLARO, A BEM DA VERDADE, QUE ATÉ HOJE, SEMPRE FUI BEM ATENDIDO. qUANTO AO MÉDICO, QUE É A DRA VANESSA E SUAS AUXILIARES FOREM ÓTIMAS, COMO TAMBÉM OS ATENDENTES DA PORTARIA."
"22";"PARABÉNS"
"23";"OTIMO"
"24";"ÓTIMO PARABÉNS"
"25";"EDUCAÇAO NOTA 10"
"26";"(*CLEITON) BOM FUNCIONÁRIO, PRESTATIVO E MUITO EDUCADO"
"27";"BOM"
"28";"ESTAO DE PARABÉNS"
"29";"(*CLEITON) SUPER EDUCADO"
"30";"(*CLEITON) ATENDENTE C/ SORRISO NO ROSTO, RARA ESTA QUALIDADE QDO VENHO AQUI. PARABÉNS!"
"31";"EXCENTE MEDICOS"
"32";"SÓ ELOGIAR AQUI É TUDO DE BOM DA RECEPÇAO AOS MÉDICOS"
"33";"ÓTIMO ATENDIMENTO. PARABÉNS P/ TODA EQUIPE HDT"
"34";"PRINCIPALMENTE PELA DRA FERNANDA. QUE PESSOA MARAVILHOSA. OBRIGADO POR CUIDAR DE MIM. FIQUEI MUITO FELIZ PELO CARINHO DE VOCES."
"35";"(*FABRICIO) GENTILEZA EM PESSOA ""ÓTIMO""."
"36";"(* FERNANDO) ATENDENTE AGIL E BEM EXPLICATIVO"
"37";"BOM DE +"
"38";"Adorei o atendimento. Parabéns."
"39";"Servidor atencioso, responsável, dá informaçoes corretas, educado e comprometido"
"40";"Exelente atendimento dessa servidora, atenciosa, competente, responsável e comprometida com um atendimento humanizado"
"41";"Muito bom. Sai de longe sou muito bem tratada com muita educaçao"
"42";"Estamos vindo aqui há 4 anos. Só temos a elogiar todo atendimento graças a Deus somos bem atendidos. Quanto a sugestoes nao há. Está tudo ótimo."
"43";"Muito bom"
"44";"Eu to gostanto do atendimento por que tá dando serto o tratamento"
"45";"Nao. Eficiencia nota 10"
"46";"Atendimento prático"
"47";"E dificil até escrever tudo que tenho tenho pois a gratidao para todos os colaboradores do HDT. Sou grata por minha irma Patrícia com seus cuidados da  pele."
"48";"Adorei o atendimento do guiche e da Dr. Mariana"
"49";"Parabéns"
"50";"Muito obrigado a todos do HDT. Feliz Natal e Ano Novo"
"51";"Deus abençoe"
"52";"Gordinho é de boa"
