"";"."
"1";"Na recepçao o atendente e ótimo. mais a médica chamada Cassia Maria e muito enresponcavel deixa os pacientes e vai dormir. ficamos a noite inteira a espera dos exames ele simplesmente dormido. Achei uma um derespeita"
"2";"OS DIVERSOS SEGURANÇAS NO PRÉDIO DEVERIAM PASSAR POR AVALIAÇAO DA REAL CONDIÇAO DE TRABALHAR COM PESSOAS EM DIFICULDADE DE SAÚDE E PSICOLOGICO ABALADO. APRESENTAM INFORMAÇOES DIFUSAS E DE MANEIRA GROSSEIRA. TEMPO DE ESPERA NA EMERGENCIA NAO CONDIZ COM O INTUITO DE UM EMERGENCIA."
"3";"CONSERTAR O SINAL DA TV UMA ANTENA SIMPLES"
"4";"O SISTEMA DE PSICOLOGIA É FALHO TANTO P/ O PACIENTE COMO O ACOMPANHANTE. A ASSISTENCIA SOCIAL É PÉSSIMA NAO FAZ ACOMPANHAMENTO ALGUM. É AUTOMATIZADO COMO ROBO, NAO TEM MUITO SENTIDO HUMANO, OS MÉDICOS TRABALHAO ERRADO SEM INFORMAÇAO E SISTEMA DE IERARQUIA, NAO FUNCIONA"
"5";"SISTEMA HIERARQUIA É FALHO POIS DETEM INFORMAÇOES CRUCIAIS A VIDA DO PACIENTE, AUTOMATISMO NAO FUNCIONA COM SER HUMANO SOMENTE COM MÁQUINAS, SEM COMUNICAÇAO (PACIENTE, ACOMPANHANTE, MÉDICO) RESULTADO É A MORTE DO PACIENTE. ***OBS: ESTE PACIENTE FOI A ÓBITO"
"6";"UM HOSPITAL QUAL UM ALTO GRAU DE CONHECIMENTO, NAO PODE DEIXAR ALHEIO EM TERMOS DE PACIENTE COM UM ALTO GRAU DE DOENÇA A MERCE DE (REZIDENTES) QUER ESTUDAR ESTUDE SEUS PARENTES. O NÍVEL DE RESPONSABILIDADE CABE A CADA PROFISSIONAL E EM SUA DEVIDA ÁREA."
"7";"VAMOS MUDAR ESTA CONCEPÇAO UMA VIDA SE FOI (POIS NAO HOUVE COMUNICAÇAO ENTRE PASCIENTE, ACOMPANHANTE E MÉDICO, VAMOS DEIXAR DE SER AUTOMÁTICO, TRABALHANDO SOMENTE EM CIMA DE EXAMES E PERGUNTAS, TEMOS QUE TER MAIS COMUNICAÇAO, VAMOS ACABAR COM A ROTULAGEM E A ROTINA DE DIZER ""EU JÁ VI ESTE CASO"""
"8";"HOJE DOMINGO FOI MUITO MAL ATENDIMENTO DO TÉCNICO DE ENFERMAGEM E ENFERMEIRA. PEDI PARA ASPIRAR MEU IRMAO VÁRIAS VEZES. nAO FIZERAM SÓ DEPOIS DE MAIS DE 5 HORAS NO HORÁRIO DE 15 HS MAIS OU - A NESSE HORÁRIO MUITO RUIM O ATENDIMENTO NA ALA C. ****PACIENTE FALECEU"
"9";"SOU PACIENTE AQUI DESDE 2012, SO QUE A FALTA DE ESTRUTURA É VERGONHOSO. ESTOU AQUI NA EMERGENCIA DESDE DAS 10:HS DA MANHA E NADA. ESTOU COM FORTES DORES ABDOMINAIS, NAUZEAS, DOR DE CABEÇA E SOU HIV POSITIVO. COMO É QUE FICA NESTE ESTADO"
"10";"NA RECEPÇAO O ATENDIMENTO É ÓTIMO, MAS A MÉDICA CHAMADA CASSIA MARIA É MUITO INRESPONSÁVEL. DEIXA OS PACIENTES E VAI DORMIR. FICAMOS A NOITE INTEIRA A ESPERA DOS EXAMES ELA SIMPLESMENTE DORMINDO. ACHEI UM DESRESPEITO."
"11";"4 HORAS DE ESPERA. É A DIFERENÇA ENTRE SALVAR UMA VIDA E CONDENAR A MORTE. **** (paciente na emergencia)"
"12";"RUIM OS METICO DERMATO"
"13";"O que mais me incomoda é a questao de esperar muito tempo na recepçao e a demora dos médicos."
"14";"Na questao do médico para com o paciente, o médico tem que dar mais assistencia pro paciente, as vezes nem satisfaçao dá, e nao deixa qualquer um ter contato com os pacientes, minha mae reclamou que chegou um doido no quarto e ficou puchando os fios do soro e falando que se cortasse ela morreria falando que ia amarrar ela, certas coisas sao inadmissíveis. Muito obrigada."
"15";"Poder trocar das 5 as 7"
"16";"Funcionarios com selulares"
"17";"DEMORA MUITO PARA CHAMAR PARA CONFIRMAR"
"18";"DRA ROSANA GINECO MUITO BRUTA"
"19";"SÓ A SENHORA DA SENHA QUE O ATENDIMENTO DELA É RUIM. NAO GOSTA DE AJUDAR O PRÓXIMO."
"20";"OS MÉDICOS ATRASAM MUITO, NAO CUMPREM O HORÁRIO, MAS O ATENDIMENTO É ÓTIMO"
"21";"MENOS ESPERA NA FILA"
"22";"(* FABRICIO)O ATENDIMENTO FOI RUIM"
"23";"OS MÉDICOS SAO BONS, AS VEZES NÓS PACIENTES SAO DEMORADOS PARA SER ATENDIDO"
"24";"MAIA AGILIDADE NO ATENDIMENTO EM CONSULTÓRIO"
"25";"O MEDICO É DRA. MAIANA ME LIGARAM PRA VIR CONSULTAR COM A DRA MIRIAM NEM VIMOS A DRA. E FOI O MAIOR TRANSTORNO NAO CONSEGUI ENTENDER NADA."
"26";"A demora na consulta para pegar apenas 1 receita que levaria 5 minutos leou 2 horas p acontecer"
"27";"Nenhuma reclamaçao"
"28";"Só gostaria que prolongasse para 6 meses"
"29";"Voltar as atividades do laboratório do HDT que era exelente"
"30";"Nao"
"31";"Tá muito demorado"
"32";"Poucos profissionais para a demanda epidemica atual"
