"";"."
"1";"FAVOR TIRAR O ZILMAR , ELE SÓ FICA PEDINDO DINHEIRO AOS PACIENTES"
"2";"COMO A CONSULTA DEMORA MUITO, PRECISAMOS DA TV PRA ASSISTIR O JORNAL"
"3";"ATENDIMENTO AMBULATÓRIO HORA MARCADA PARA CADA PACIENTE, POIS MARCAM TODOS MESMO HORÁRIO , E MUITO DEMORADO HORA CHEGADA E HORA SAÍDA. POIS TEMOS TRABALHO NAO PODE DEMORAR TANTO, SE DIMINUIR PELA METADE O TEMPO DE ESPERA ESTARIA OTIMO"
"4";"NAO ATENDEM O TELEFONE PARA MARCAR POR TELEFONE ESTAMOS CANSADOS DE TANTOS DESCASO NOS TEMOS QUE PARA DE GENTE FALA QUE TEM O TELEFONE MAIS NUNCA ATENDE"
"5";"RECEPÇAO GUICHE DAS CONSULTAS CADA VEZ MAIS LENTO E ATENDENTES IMPACIENTES"
"6";"SOU CIDADAO USUÁRIO FUI DESRESPEITADO PELA MEDICA ALUSKA PEDIU PARA SAIR DO CONSULTORIO POR TER QUESTIONADO PELA DEMORA, A MEDICA ME DESRESPEITOU SEM MOTIVO JUSTIFICADO ELA PRECISA RESPEITAR OS PACIENTESNAO TEM ETICA ELA NAO QUIS ME OUVIR MINHAS QUEIXAS E DORES NAO OLHOU MEUS EXAMES SOU PACIENTE A 18 ANOS TENHO 60 ANOS PRECISAVA MUITO DO RELATORIO PARA SOLICITAR APOSENTADORIA."
"7";"O TELEFONE 3282-6161 ESSE TELEFONE NUNCA ATENDE POR FAVOR TOME PROVIDENCIA OBRIGADA PACIENTE HDT"
"8";"O HDT APARENTIMENTE TÁ OTIMO PORÉM FALTA MUITAS INFORMAÇOES QUE PARA NÓS PACIENTES SAO FUNDAMENTAIS: INFORMAÇAO NO BEBEDOURO PARA NAO ENCONSTAR A BOCA DA GARRAFA NA TORNEIRA,SUPORTE NO BANHEIRO PARA BOLSA, ENDEREÇO E TELEFONE VISIVEL EM TODAS AS RECEPÇOES DISPENSORES COM PRESERVATIVOS ETC. MAQUEIRO TRAS A CADEIRA OU MACA E DESAPARECE, OS SEGURNAÇAS DIZEM QUE NAO PODEM AJUDAR, POREM, NAO VAI BUSCAR AUXILIO E ENTRE OUTRAS..."
"9";"O TEMPO DE ESPERA É MUITO GRANDE PODERIA SER MAIS RAPIDO MUITO DEVAGAR"
"10";"A SENHORA QUE FAZ A DISTRIBUIÇAO DAS SENHAS TINHA QUE SER MAIS EDUCADA, AS VEZES, JÁ PREZENCIEI MAL TRATAMENTO DELA PARA COM OS PACIENTES. ALGUNS MÉDICOS TINHA QUE PRESTAR MAIS ATENÇAO NO SERVIÇO QUERIAM APLICAR VACINA DE MALARIA EM MIM."
"11";"DEMORA MUITO A ESPERA PARA CONSULTAR. MARCA POR EXEMPLO AS 13:00HS SENDO QUE A MEDICA COMEÇA ATENDER AS 15HRS ACHO FALTA DE RESPEITO COM O PACIENTE. POR FAVOR COMECE A VER ISSO P/QUE MELHORE ISSO."
"12";"NEM UMA"
