"";"."
"1";"MELHORAR NO ATENDIMENTO PORQUE DEMORA MUITO. ATENDIMENTO RECEPÇAO."
"2";"RHAYNE DO AMBULANTORIO COORDENADORA MUITO MÁ NAO TEM CORAÇAO PARA TRABALHAR NA SAÚDE SO SABE FALA NAO PARA NOS. NOS PRECISA DO HATEDIMENTO NAO TEM VAGA, O TRANSPORTE DA MINHA CIDADE NAO ESPERA SOCORRO TIRA ESSA MULHER DO AMBULATORIO"
"3";"QUERO ALERTAR ESSA DIRETORIA, PELO TRABALHO DA FUNCIONARIA DA COORDENAÇAO DO AMBULATORIO NAO TEM CORAÇAO, BOM SENDO E CORAÇAO. EU VIM CONSULTA E VI UMA DOUTORA ATENDER UMA PACIENTE E A COORDENADORA NAO DEIXOU  A PACIENTE FOI EMBORA CHORANDO, EU FIQUEI MUITO TRISTE COM ATITUDE DESTE SER  SEM CORAÇAO. ESPERO QUE VOCE REPASSE NINGUEM VEM NO HOSPITAL PORQUE QUER E POR NECESSIDADE A SAUDE E DIRETO DE TODOS. SE EU PRESENCIAR ISTO NOVAMENTE VOU ACREDITAR QUE VOCES NAO TEM FAMILIA, NEM CORAÇAO QUEM FAZ USO DE ANTROVIRAL NAO TEM + VIDA NORMAL ACHA QUE O NOME DELA E RHAYANE TENHA MISERCORDIA DOS PACIENTES. SABEMOS QUE VOCES NAO TEM CULPA  A PACIENTE FOI AUTORIZADA PELA GINECOLOGIA E VOLTOU, ESPEROU TANTO TEMPO, PERDEU E POR ISTO QUE TEM MEU APELO. DEUS ABENCOE TODOS"
"4";"PEGAR OS REMEDIOS NA FARMACIA DE 2 E 2 MESES FICOU PESSIMO, QUEM TEVE A IDEIA, PRECISA REPENSAR. PORQUE  NEM TODOS TEM PASSAGENS DE ONIBUS E PARA PIORAR QUEM TRABALHA NAO TEM TEMPO E MAIS UMA IDEIA SIMPLES PORQUE NAO SERVEM COMIDA P/ PESSOAS QUE CHEGAM AO 12:00 DIA. POS É PAGAMOS TANTOS IMPOSTOS QUE ESQUECI QUE SOU BURRO."
"5";"PESSO PARA DIREÇAO GERAU TOMAR PROVIDENCIA SOBRI O PACIENTI ZIUMAR ESTA FAZENDO BAGUNÇA NA UNIDADE DU CONDOMINIO SOLIDAREDADI PRECIZANMOS QUE RETIRI ELE COM UGECIA."
"6";"SUGESTAO P/ORGANIZAÇAO SUGIRO QUE AS SENHAS DE ENCAIXA SEJAM DISTRIBUIDAS DE ACORDO COM A CHEGADA DO PACTE, POIS AS MESMAS SAO DISTRIBUIDAS APARTIR DAS 8HS POR ORDEM DE CHEGADA. MAS QUAL A ORDEM? QUEM SABE QUEM CHEGOU NA FRENTE? E OS PACT IDOSOS E POUCOS INSTRUÍDOS? O ATENDIMENTO PERMANECERIA AS 8HS MAS A DISTRIBUIÇAO DA SENHA SERIA ORDEM DE CHEGADA."
"7";"JÁ FAZ ALGUM TEMPO QUE SOU PACIENTE DAQUI DO HDT. POREM EU MORO NO INTERIOR E AS VEZES TENHO QUE PEGAR O ONIBUS PARA RETORNAR PARA MINHA CIDADE 17:00. E A FARMACIA FECHA AS 18:30 GOSTARIA BASTANTE QUE O HORARIO DA FARMACIA FOSSE PROLONGADO E PACIENTE DO INTERIOR TIVESSE PRIORIDADE."
"8";"NAO TENHO PRONTUÁRIO C/ MÉDICO. CHEGUEI AO HOSPITAL 07/08 P/CONSULTA C/DERMATO E INFECTO AS 12:30 TIVE QUE ESPERAR PARA CONFIRMAR CONSULTA 02 VEZES, PORQUE NAO CONFIRMA EM 05 M. APOS AS 17:30 AINDA ESTOU NO HOSPITAL ESPERANDO E MEDICA PASSANDO OS ENCAIXES NA FRENTE (DRA.BEATRIZ)FOI MARCAÇAO DOS FUNCIONARIOS(ABSURDO) CONSULTA AS 18:00 HS(AGENDA)"
"9";"MUITA FORMIGA"
"10";"MELHORAR A SAÍDA DOS PACIENTES A NOITE PERTO DAS JANELAS MUITO BARULHO E CONVERSAS ATÉ TARDE DA NOITE."
"11";"MINHA RECLAMAÇAO É QUE A PESSOAS QUE FICAM FUMANDO PROXIMO AS JANELAS DOS QUARTOS DA ALA C E QUE FICAM ATÉ TARDE FAZENDO BARULHO ATRAPALHANDO  OUTROS PACIENTES A DORMIR MINHA SUGESTAO É QUE IMPONHA UM HORÁRIO LIMITE PARA QUE TENHA ASSESSO AO JARDIM."
"12";"OUVIR MAIS AS QUEIXAS DO PACIENTE,ALGUMAS QUEIXAS NAO FORAM OUVIDAS E CAUSOU SOFRIMENTO DESNECESSÁRIO AO PACIENTE."
"13";"PODERIA TER UMA TELEVISAO NO QUARTO PARA DISTRAIR O PACIENTE"
"14";"EU SO QUERIA QUE QUANDO A GENTE FOSSE CHAMAR AS ENFERMEIRAS ELAS NAO DEMORASSE TANTO PRA VIM ATENDER. A HORA QUE ELAS MAIS DEMORA VIR ATENDER E DEPOIS DAS 00:00 HORAS, TEVE VEZ DE EU IR CHAMAR UMA DELAS E NAO TER NENHUMA ONDE ELAS FICA E AS LUZ DO CORREDOR TA APAGADO E A GENTE NAO SABER POR ONDE ANDA AS ENFERMEIRA."
"15";"MUITOS FUMANTES E BARULHO"
"16";"MUITAS FORMIGAS"
"17";"PERCEBEMOS QUE EXISTE A NECESSIDADE DE MAIS TÉCNICAS DE ENFERMAGEM, POIS A DEMANDA DE PACIENTES É MUITO GRANDE. ALGUMAS TÉCNICAS PRECISAM DE TREINAMENTO PARA LHE DAR COM PACIENTES. SERIA IMPORTANTE UMA ÁREA RESERVADA AOS FUMANTES, POIS INCOMODA MUITO, A FUMAÇA INVADE OS QUARTOS."
"18";"MELHORAR AS ALIMENTAÇOES TER MAIS OPÇOES"
"19";"ACOMODAÇOES PARA VISITANTE DA UTI SEM CADEIRA"
"20";"TROCAR A MOÇA DA RECEPÇAO QUE PASSA AS PESSOAS DA VISITA."
