"";"."
"1";"EQUIPE MUITO EDUCADA E GENTIL"
"2";"ATEDIMENTO EXCELENTE!"
"3";"O CENTRO DE REFERENCIA HDT É UM HOSPITAL DE EXCELENCIA TODOS OS COLABORADORES SE PREOCUPAM EM CUIDAR DO PRINCIPAL CLIENTE QUE É O PACIENTE. QUE EM MOMENTO DIFÍCIL TEM QUE TER UMA ATENÇAO ONDE SE SINTA COMFIANTE PARA COM TODOS, APESAR DE SER DIFICULTOSO ACESSO AO HDT, AS QUALIDADES SUPERAM TEUS DEFEITO. HOSPITAL DE PARABÉNS POIS ESTOU SENDO TRATADO DA FORMA QUE PRECISO SER TRATADO E NAO DA FORMA QUE ACHAM QUE DEVO SER TRATADO."
"4";"GOSTEI DA EQUIPE DA ENFERMAGEM"
"5";"TUDO DE BOM"
"6";"O QUE EU GOSTO DA ARVORE DE NATAL E O BONECO DE NEVE"
"7";"ATE AGORA OTIMO ATENDIMENTO"
"8";"BANHEIRO: ESTA LIMPO. RECEPÇAO: ESTÁ RECEBENDO BEM OS PACIENTES"
"9";"BANHEIROS:SAO ÓTIMOS; BEM CUIDADOS. RECEPÇAO: EXCELENCIA EM ATENDIMENTO. CONSULTÓRIOS: AMBIENTES AGRADÁVEIS, ISSO POIS OS PROFISSIONAIS SAO BEM CONCEITUADOS E ÉTICOS..."
"10";"OTIMO FUI MUITO BEM ATENDIDA ME ESPLICOU TDO COM TOTAL ATENÇAO. D. MUITO PRESTATIV GOSTEI MUITO UM AMOR DE PESSOA HÁ SE TD MEDICO FOSSE COMO ELA. GUARDA ASSISTENTE SOCIAL FORAM OTIMO"
"11";"OTIMO ATENDIMENTO, DR.CAROLINA ABRAO E CLEITON OLIVEIRA RECEPÇAO. PARABÉNS"
"12";"BOM ATENDIMENTO (CHRISTIANE)"
"13";"ATENDIMENTO MARAVILHOSO AS ATENDENTES SAO BEM ATENCIOSA E EDUCADAS NAO TEM QUE RECLAMAR. CONSULTÓRIOS: BEM LIMPOS E CONSERVADOS"
"14";"BANHEIRO: LIMPOS, HIGIENIZADOS. RECEPÇAO: BOA RECEPTIVIDADE DOS FUNCIONARIOS. CONSULTÓRIOS: OTIMOS"
"15";"BANHEIRO: BOM. RECEPÇAO: OTIMO. CONSULTÓRIO: ÓTIMO"
"16";"TUDO AQUI A MINHA OPINIAO E OTIMO. BEM EGENISADO. RECEPÇAO: SAO TODOS OTIMOS ATENDI MUITO BEM. SAO ATENCIOSAS. CONSULTÓRIOS: MARAVILHOSOS MUITO ORGANIZADOS. TEM O HDT COMO REFERENCIA DO ESTADO DE GOIASSEMPRE SOU BEM ATENDIDA AQUI. AMO ATENDIMENTO"
"17";"MUITO BOM"
"18";"MUITO ORGANIZADO ACHEI"
"19";"TUDO OTIMO"
"20";"DEIXAMOS REGISTRADOS QUE DRA ANALZIRA ""INFECTOLOGIA"" É MUITO ATENCIOSA EXCELENTE MÉDICO PARABÉNS PELA DEDICAÇAO."
"21";"BANHEIROS: SEMPRE LIMPOS O PROBLEMA MESMO É DOS USUARIOS QUE NAO CUIDAM PARA MANTE-LOS LIMPO. RECEPÇAO: SEMPRE QUE VENHO NAO TENHO O QUE RECLAMAR DE NENHUM DELES SEMPRE MUITO EDUCADOS COMIGO..."
"22";"ACHO TUDO MUITO IMPORTANTE E QUE ATENDE NOSSAS NECESSIDADES, OBRIGADO POR QUE EXISTE ESSE HOSPITAL E VOCES. DEUS ABENÇOE A TODOS."
"23";"RECEPÇAO: NEM TODOS TEM O CUIDADO DE INFORMAR E AJUDAR. HÁ ALGUNS OTIMOS, MAS OS MELHORES JA NAO ESTAO AQUI.( ATENDENTES DA RECEPÇAO.) PODERIA DIZER QUE ESTE HOSPITAL É NOTA 10."
"24";"TUDO PERFEITO"
"25";"FUI MUITO BEM ATENDIDO (RECEPÇAO). A DRA LUCIANA ME ATENDEU MUITO BEM PRESTOU UM ATENDIMENTO EXCELENTE."
"26";"EXCELENTE!"
"27";"AGRADEÇO A TODOS POR TUDO QUE FAZEM POR MIM AQUI."
"28";"(FERNANDO) FOI SUPER ATENCIOSO FOI O UNICO QUE ME DISSE O NOME ATÉ HOJE"
"29";"BOM"
"30";"O ATENDIMENTO DO CLEITON SEMPRE FOI UM DOS MAIS CORDIAIS AQUI"
"31";"OTIMO"
"32";"PESSOAL MUITO PRESTATIVO E EDUCADO. TUDO MUITO BOM. BOM MESMO. PARABÉNS."
"33";"HOSPITAL OTIMO EM TODO ATENDIMENTO"
