"";"."
"1";"QUERO ELOGIA A FUNCIONARIA Ma DE FATIMA PELO OTIMO TRABALHO SEU ATENDIMENTO E CONTAGIANTE"
"2";"NADA FICA A DESEJAR"
"3";"PARABENIZO ATENDIMENTO DA FUNCIONARIA ELY GOMES!SEMPRE MUITO PRESTATIVO E EFICIENTE NO ATENDIMENTO. PARABÉNS!!!"
"4";"OTIMA"
"5";"MARIA DE FATIMA. A UNIDADE PRECISA DE PESSOA, COMO A MESMA QUE ME ATENDEU POIS O ORGAO TRATA DE SAÚDE PRECISAMOS SER ATENDIDOS COM OTIMO HUMOR!! OBRIGADO!!"
"6";"AGRADECO A TODO HDT VERDADE QUE FUI MTo BEM ATENDIDO NESTE HOSPI. HDT. C/CERTEZA FARA O MELHOR P/ATENDER OS PACIENTES. MTo OBRIGADO..."
"7";"EM NOME DE JESUS CRISTO VENHO AGRADECER Á TODOS VOÇES POR SEUS SERVIÇOS E AMOR C/ RESPEITO A MIM PRESTADO. SAIO C/EXTREMA ALEGRIA E CONSIDERAÇOES P/ ME AJUDAR NA MINHA RECUPERAÇAO DA MINHA SAÚDE. QUE DEUS OS PROTEJA E ABENCOA AS SUAS VIDAS.MEU MTo OBRIGADO."
"8";"PRIMEIRAMENTE GOSTARIA DE PARABENIZAR O TRABALHO DA DONA ALDA NA LIMPEZA EXCELENTE, E MUITO PRESTATIVA."
"9";"ESPERO NAO PRECISAR VOLTAR AQUI, MAIS SE CASO FOR PRECISO CENHO TRANQUILO PORQUE O SERVIÇO AQUI É ÓTIMO NAO TENHO DO QUE RECLAMAR DIAS QUE PASSEI AQUI.SÓ TENHO A AGRADECER POR TUDO.OBG"
"10";"Ma DE FÁTIMA - RECEPÇAO SOCIAL ÓTIMO ATENDIMENTO!"
"11";"NENHUMA POIS DESDE QUE CHEGUEI AQUI PARA TRATAR SOU MUITO BEM ATENDIDA!OBRIGADA POR TUDO SOU MUITO GRATA"
"12";"OLHA EU NAO TENHO NADA A RECLAMAR SO AGRADECE VCS PELO ATENDIMENTO"
"13";"O EXATO MOMENTO SO TENHO QUE AGRADECER AO CLEITON PELA ATENÇAO E A COLABORACAÇAO DO SEU ATENDIMENTO.E A DRA. HELENA PRA MIM EMA SEMPRE FOI UMA ECELENTE MÉDICA, UMA PROFISSIONAL QUE DEVO MINHA VIDA."
"14";"ESTOU SATISFEITA COM ATENDIMENTO"
"15";"ESSE RECEPCIONISTA É O QUE ATENDE DE FORMA MAIS HUMANA, DEMONSTRANDO - SE SEMPRE SOLÍCITO E GENTIL. (CLEITON)"
"16";"SUGESTOES FOI BOM HOJE RAPIDO MEU OBRIGADO"
"17";"EXCELENCIA SR. CLEITON (CLEITON)"
"18";"SEMPRE FUI MUITO BEM ATENDIDA ESPERO QUE CONTINUE ASSIM"
"19";"O ATENDENTE É MUITO CORTEZ E DISPOSTO A AJUDAR (CLEITON)"
"20";"O ATENDIMENTO PARA MIM ESTA BOM. NADA A RECLAMA"
"21";"EU QUERO CLEITON COMO ATENDENTE SEMPRE."
"22";"O ATENDIMENTO DISPENSADO PELA ELI FOI MUITO SATISFATORIO E AGRADAVE. ESTÁ DE PARABENS!"
"23";"ELA FOI OTIMA MUITO OBRIGADO QUE DEUS TE ABENÇOE (ELY)"
"24";"MUITO BOM"
"25";"NADA A RECLAMAR"
"26";"BOM ATENDIMENTO C/PACIENTES"
"27";"HDT ESTÁ DE PARABENS FUI MUITO BEM ATENDIDO PELO FABRICIO MUITO ATENCIOSO, PROCUROU DE TODO JEITO, RESOLVER O PROBLEMA."
"28";"ELE É MUITO EDUCADO SIMPATICO E PRESTATIVO (FERNANDO)"
"29";"PARABENS"
"30";"PARABÉNS"
"31";"FOI MUITO EDUCADA FEZ O POSSIVEL P/RESOLVER O MEU PROBLEMA, PESSOA MUITO GENTIL (LEUDILENE)"
"32";"ATENDENTE MUITO GENTIL E PRESTATIVA (LUCIA)"
"33";"MUITO ATENCIOSA DRA MAÍRA-EXCELENTE MUITO SATISFEITO!"
