"";"."
"1";"MEU COMENTARIO DE ESPERA TODOS NOS PACIENTE TEM QUE COMPREENER QUE FONCIONARIOS TRABALHÂO CONFORME A NOMA DA UNIDADE NAO DEVEMOS PREOCOPAR COM TEMPO DE ESPRA EU ESTOU TRATANDO AQUI DESDE 2002 E SEMPRE GOSTO DO ATEMDEMETO DE TODOS MAIS QUERO DESTACAR UMA PESSOA QUE DEMOSTRA MUITA CARISMA COM TODOS. DESCOLPE PELAS PALAVRAS MAU ESCRITA NAO TENHO ESTODO."
"2";"FUI ATENDIDA NA RECEPÇAO PELA LUIZA, E ELA ESTA DE PARABENS! PELO SEU ATENDIMENTO POIS ELA 3 VEZES ME ATENDEU COM MUITA EDUCAÇAO, GENTILEZA E RESPEITO, POIS ESTOU AQUI A AGRADECELA POIS NEM SEMPRE O ATENDIMENTO NA RECEPÇAO ESTÁ ASSIM!"
"3";"A SENHORA ELI FOI DE EXTREMA IMPORTÂNCIA PRA MIM HOJE, FOI ELA QUE ME AJUDOU, NA VERDADE A ÚNICA PESSOA PARA O PRÓPOSITO QUE EU ESTAVA NA UNIDADE"
"4";"BEM ATENCIOSA ( RAQUEL BENEVIDES)"
"5";"ELA É MUITO EDUCADA (RAQUEL BENEVIDES)"
"6";"GOSTEI MUITO DE SER ATENDIDO COM OS RECEPICIONISTA SAO MUITO ATENCIOSOS"
"7";"TUDO OTIMO"
"8";"PARABÉNS. DEUS ABENÇOE"
"9";"MUITO BOM, ALEM DA CONSULTAR TER REALIZADO O PROCEDIMENTO."
"10";"DONA ELY OTIMA"
"11";"CASSIA MELHOR MÉDICA"
"12";"OTIMO"
"13";"SEMPRE FUI BEM ATENDIDA GRACAS A DEUS MEU MEDICO E MUITO ATENCIOSO ESPRICA SOBRE UM RESULTADO, EXAMES SÓ TENHO ELOGIO"
"14";"MUITO BOM O ATENDIMENTO, GRAÇAS AO HOSPITAL E O ATENDIMENTO"
"15";"POR SER A PRIMEIRA CONSULTA, ESTÁ SENDO ÓTIMO"
"16";"ESTA OTIMO, SEMPRE QUE VENHO AQUI SOU BEM ATENDIDA"
"17";"MUITO BOM!"
"18";"O ATENDENTE CLEITON E UM FUNCIONARIO EXELENTE PARABENS PELA ESCOLHA"
"19";"QUE DEUS ILUMINA TODOS FUNCIONARIOS, DESTE HOSPITAL. DEUS ABENÇOA A TODOS"
"20";"ESTOU AGRADECIDA PELO ATENDIMENTO DE TODA EQUIPE"
"21";"MUITO BOM"
"22";"TODAS AS VEZES QUE VIEMOS AQUI FOMOS BEM ATENDIDOS. MÉDICOS DR. RODRIGO E DRA. ADRIANA"
"23";"MUITO ATENCIOSO (CLEITON)"
"24";"BOM ATENDIMENTO, MUITO EDUCADO"
"25";"MUITO OTIMO OS FUNCIONÁRIO SAO BEM EFICIENTES EM ESPECIAL O CLEITON SEMPRE ATENCIOSO."
