"";"."
"1";"OS TRABALHOS SAO BONS"
"2";"DO COMECO AO FIM DO MEU ATENDIMENTO FUI MUITO BEM ATENDIDO. NUNCA FUI TAO BEM ATENDIDO, NEM HOSPITAL PARTICULAR OBTIVE TANTO RESPEITO E CARINHO."
"3";"SOU ADELIA MAE DO VANDER AO CHEGAR AQUI DO INTERIOR CIDADE DE ARAGUARÇAS FUI SURPREENDIDA TODOS MUITOS EDUCADOS, DESDE A RECEPÇAO ATE MEDICOS. TODOS COM TANTO CARINHO. E EDUCAÇAO QUE MIM FEZ SENTIR MELHOR.DIANTE DE TANTA DOR E TRISTEZA POR FILHO ENCONTRA DOENTE. OBRIGADO A TODOS OS ANJOS QUE AQUI HABITA."
"4";"ELI MUITO ATENCIOSA, PRESTATIVA, DEDICADO. PARABENS"
"5";"ELY - OTIMO"
"6";"COMIDA MUITO GOSTOSA"
"7";"Foi atendido muito ótimo, todos estao de parabens"
"8";"MEU COMENTARIO DE ESPERA TODOS NOS PACIENTE TEM QUE COMPREENER QUE FONCIONARIOS TRABALHÂO CONFORME A NOMA DA UNIDADE NAO DEVEMOS PREOCOPAR COM TEMPO DE ESPRA EU ESTOU TRATANDO AQUI DESDE 2002 E SEMPRE GOSTO DO ATEMDEMETO DE TODOS MAIS QUERO DESTACAR UMA PESSOA QUE DEMOSTRA MUITA CARISMA COM TODOS. DESCOLPE PELAS PALAVRAS MAU ESCRITA NAO TENHO ESTODO."
"9";"FUI ATENDIDA NA RECEPÇAO PELA LUIZA, E ELA ESTA DE PARABENS! PELO SEU ATENDIMENTO POIS ELA 3 VEZES ME ATENDEU COM MUITA EDUCAÇAO, GENTILEZA E RESPEITO, POIS ESTOU AQUI A AGRADECELA POIS NEM SEMPRE O ATENDIMENTO NA RECEPÇAO ESTÁ ASSIM!"
"10";"A SENHORA ELI FOI DE EXTREMA IMPORTÂNCIA PRA MIM HOJE, FOI ELA QUE ME AJUDOU, NA VERDADE A ÚNICA PESSOA PARA O PRÓPOSITO QUE EU ESTAVA NA UNIDADE"
"11";"TUDO DE BOM"
"12";"OTIMO"
"13";"BOM"
"14";"MUITO ATENCIOSO E EDUCADO (CLEITON)"
"15";"GRATIDAO"
"16";"NAO TEM RECLAMAÇAO SEMPRE FUI BEM ATENDIDA"
"17";"MUITO ORGANIZADO OS ATENDENTES MUITO ATENCIOSOS. GOSTEI MUITO"
"18";"MUITO BOM. TODO ATENDIMENTO DE TODAS AQUI PARABENS PARA TODOS VCS"
"19";"NAO TENHO NADA A RECLAMAR. SO AGRADECER ESPERTO QUE CONTINUA SEMPRE ASIM PARA MIM SAO TODOS MUITO EDUCADO E MUITO ATENCIOZO VOCES ESTAO DI PARABEMS"
"20";"BOM DIA! GOSTEI DE SER ATENDIDO POR UMA PESSOA EDUCADA MUITO AMOROSA NEM TODAS AS PESSOAS TEM ESSE TIPO DE HUMOR (CHRISTIANE ALVES)"
"21";"MARIO AURERIO DERMATOLOGISTA UM MEDICO MUITO ATENSIOSO E DEDICADO.COM AGENTE GOSTEI MUITO DELE. (JANAINA ANDRADE) ELA E MUITO EDUCADA.PRESTATIVA"
"22";"SEMPRE FUI BEM ATENDIDA"
"23";"MUITO BOM O ATENDIMENTO DA RECEPCAO E DA DRA ROBERTA.MUITO OBRIGADO E PARABENS"
"24";"ATENDENTE DO BALCAO (RAQUEL BENEVIDES) MUITO EDUCADA E ATENCIOSA"
"25";"(RAQUEL BENEVIDES) SUPER EDUCADA MERECE NAO SÓ 10 MAIS MIL PARABÉNS! DEUS AMA PESSOAS ASSIM HUMILDES I EDUCADA"
"26";"ATENCIOSA (RAQUEL BENEVIDES)"
"27";"QUANTO AO ATENDIMENTO COM A DRA. VANESSA E SUAS AUXILIARES, TODAS SAO ÓTIMAS"
"28";"BEM ATENCIOSA ( RAQUEL BENEVIDES)"
"29";"ELA É MUITO EDUCADA (RAQUEL BENEVIDES)"
"30";"GOSTEI MUITO DE SER ATENDIDO COM OS RECEPICIONISTA SAO MUITO ATENCIOSOS"
"31";"TUDO OTIMO"
"32";"PARABÉNS. DEUS ABENÇOE"
"33";"MUITO BOM, ALEM DA CONSULTAR TER REALIZADO O PROCEDIMENTO."
"34";"DONA ELY OTIMA"
"35";"CASSIA MELHOR MÉDICA"
"36";"SEMPRE FUI BEM ATENDIDA GRACAS A DEUS MEU MEDICO E MUITO ATENCIOSO ESPRICA SOBRE UM RESULTADO, EXAMES SÓ TENHO ELOGIO"
"37";"MUITO BOM O ATENDIMENTO, GRAÇAS AO HOSPITAL E O ATENDIMENTO"
"38";"POR SER A PRIMEIRA CONSULTA, ESTÁ SENDO ÓTIMO"
"39";"ESTA OTIMO, SEMPRE QUE VENHO AQUI SOU BEM ATENDIDA"
"40";"MUITO BOM!"
"41";"O ATENDENTE CLEITON E UM FUNCIONARIO EXELENTE PARABENS PELA ESCOLHA"
"42";"QUE DEUS ILUMINA TODOS FUNCIONARIOS, DESTE HOSPITAL. DEUS ABENÇOA A TODOS"
"43";"ESTOU AGRADECIDA PELO ATENDIMENTO DE TODA EQUIPE"
"44";"MUITO BOM"
"45";"TODAS AS VEZES QUE VIEMOS AQUI FOMOS BEM ATENDIDOS. MÉDICOS DR. RODRIGO E DRA. ADRIANA"
"46";"MUITO ATENCIOSO (CLEITON)"
"47";"BOM ATENDIMENTO, MUITO EDUCADO"
"48";"MUITO OTIMO OS FUNCIONÁRIO SAO BEM EFICIENTES EM ESPECIAL O CLEITON SEMPRE ATENCIOSO."
