"";"."
"1";"CADEIRA DO ACOMPANHANTE MAIS CONFORTAVEL"
"2";"ATENDIMENTO DAS ENFERMEIRA ESTA DEMORANDO DUAS E TRES HORAS QUANDO SOLICITANDOS NO LEITO;SEGUNDO A QUEICHA DELAS É QUE ESTA EM FALTA DE CONTRATATO DE FUNCIONARIOS P/ÁREA DE ENFERMAGEN.DEMORANDO MUITO ATENDIMENTO COM POUCO FUNCIONARIO."
"3";"MELHORAR A POUTRONA DO ACOPANHANTE POR FAVOR SE PUDER MUDAR SERÁ MUITO BOM"
"4";"VOCEIS NAO COLOCARAM A FARMACIA"
"5";"QUANDO MUDAR A DATA DA CONSULTA AGENDADA QUE AVISE O PACIENTE NO MINIMO 03 DIAS DE ANTECEDENCIA QUE ELE NAO PRECISE, FICAR AQUI PASSANDO PELA HUMILHAÇAO DE FICAR ESPERANDO POR ENCAIXE PRINCIPALMENTE QUANDO NECESSITA DE RECEITA PARA PEGAR OS MEDICAMENTOS.POIS SOU DO INTERIOR E ISSO DIFICULTA MAIS AINDA POIS NECESSITO DE TRANSPORTE"
"6";"OS MEDICOS PODERIAN COMECAR A ATENDER NO HORARIO MARCADO"
"7";"MELHORES CONDIÇOES PARA ACOMPANHANTES, PELO MENOS UMA CADEIRA QUE RECLINA"
"8";"MELHORES ATENDIMENTO DOS MEDICOS QUE TRABALHAM AQUI MAUTATA AS PESSOA DEUS É FIEL"
"9";"PESSO A VOCES QUE O HORARIO MARCADO E CONFIRMADO FOSSE RESPEITADOS PORQUE MARCA AS 14:HS E VAI ATENDER AS 17: HS. ASSIM FICA DIFICIL FALTA DE RESPEITO COM QUAIS JÁ SUA ALTA ESTIMA BAIXA POR CONTA DO HIV AÍ MELHOR É MORRER"
"10";"Falta de comunicaçao com plantonista (divulgacoes de informaçoes restritas para terceiros"
"11";"Hospital poderia seder mascaras para acompanhante; Poderiamos visitar paciente (5 minutos) na hora da troca de acompanhante (já que venho trazer ou buscar quem está com ele."
"12";"A paciente  chegou com dengue emorragica fez exames de sororlogia foi constatado e confirmado dengue e mais emorragia na urina na boca e no nariz e assim mesmo a médica sabendo deu alta para paciente disse nao haver necessidade de internaçao"
"13";"COLOCAR UM ESTACIONAMENTO PARA OS PACIENTES ABRIR VAGA"
"14";"OBS.SEQUER FUI ATENDIDO. FUI PICADO POR UMA ARANHA MARROM NAO DERAM NEM MORAL!"
"15";"E UM DESRESPEITO COM PACIENTE O MÉDICO DRo PEDRO DEIXAR UM IDOSO ESPERAR POR SUA CONSULTA POR 06 (SEIS)HS. SEM ALMOÇO E NEM AVISA. ISSO TEM SER MUDADO."
"16";"MELHORAR O ATENDIMENTO NO SETOR DE VACINA"
"17";"MEDICOS NAO ATENDE NO HORARIO SEMPRE 3 A 4 PARA SER ATENDIDO NAO TEM UMA ORGANIZAÇAO NAO TEM CRITERIO A SER SEGUIDO."
"18";"CONSULTA MARCADA, PARA 07:00 SO CONSULTOU 09:00"
"19";"FUNCIONÁRIOS SEMPRE INDISPOSTOS A GUDAR PESSOAS DE PÉSSIMO HUMOR, EM VISTA QUE ESTAO AQUI PARA ATENDER PESSOAS DOENTES, QUE PRECISAM DE ATENÇAO.DÁ VERGONHA TANTA CARA FEIA"
"20";"AQUI A GENTE ESPERA DAS 7 DA MANHA ATE AS 2 DA TARDE E SE RECLAMAR ELES FALAM QUE É DESACATO UMA VERGONHA!!!!ESSE É O BRASIL!!!UM HOSPITAL TAO GRANDE DESSE E MUITOS IDOSOS ESPERANDO!!!"
"21";"CHEGO SETE DA MANHA E SAIO QUATRO DA TARDE RESUMINDO AQUI A GENTE ESPERA MUITO E SE RECLAMAR ELES FALAM QUE É DESACATO."
"22";"DEVERIAM DAR FOLGA OU FÉRIA PARA AS ENFERMEIRAS ANCIAS PORQUE SEM PACIENCIA E APAVOLADAS E PENÇO QUE DEVERIA TER MAIS PACIENCIA E RESPEITO COM AS PACIENTES FRAGEIS"
"23";"SÓ PRECISA DE CADEIRAS MAIS CONFORTAVEIS PARA OS ACOMPANHANTES"
"24";"MAIS DE 1 VISITANTE SERIA ÓTIMO"
"25";"É MUITO RUIM MAIS FAZE O QUE"
"26";"PRECISA DE SUBSTITUIÇAO PARA A AJUDAR A DR. GINECOLOGISTA; POIS SÓ TEM ELA COMO MÉDICA, FICA SUPER ENCARREGADA.POR EXEMPLO O MES DE FÉRIAS DA MESMA NAO TEM NINGUÉM PARA FICAR NO LUGAR DELA."
"27";"SRTA HELENA RECART SE APRESENTOU COMO DOUTORA, SENDO A MESMA UMA RESIDENTE. HISTORICO NA TELA REGISTRADO PORÉM A MESMA NAO SIMULOU O QUADRO CLÍNICO.SORTE QUE A MÉDICA RESPONSÁVEL CHEGOU PARA ACOMPANHAR. DOUTOR É SOMENTE QUEM FEZ O DOUTORADO!!!"
