"";"."
"1";"QUERO AGRADECER PRIMEIRAMENTE O DOUTOR ALEXANDRE PELO CARINHO E DEDICAÇAO. AS ENFERMEIRAS DIURNOS E NOTURNOS PELO CARINHO."
"2";"QUERO AGRADECER PRIMEIRAMENTE A DEUS, E TODA A EQUIPE MÉDICA DO HDT, SOBRE O COMANDO DO DR. ALEXANDRE UMA EQUIPE QUE DESEMPENHA UM BOM TRABALHO, PARA A SAÚDE DO PACIENTE."
"3";"ELOGIO A FUNCIONARIA ELY GOMES MUITO PRESTATIVA BOA PESSOA OBRIGADA"
"4";"AGRADECO A DEUS PELA MINHA VIDA EM ESPECIAL DR RODRIGO SEBBA PARABÉNS! SUA DEDICACAO E PROFICIONALISMO IMPECAVEL! NOS AJUDA MUITO! ATENDIMENTO OTIMO!EDUCADO!"
"5";"ELY - OTIMO"
"6";"COMO SEMPRE, O HOSPITAL PRIMA PELO ZELO E CUIDADO COM O PACIENTE, QUE SE ENCONTRA EM ESTADO VULNERÁVEL. EQUIPARA-SE A HOSPITAIS DE PONTA, PELA ORGANIZAÇAO E TRATAMENTO MULTIDISCIPLINAR E EQUIPES EFICIENTES. ESTAO DE PARABÉNS!"
"7";"GOSTARIA DE DEIXAR MEU ELOGIO A EQUIPE DE ENFERMAGEM NOTURNA DA DATA DE 17/05/2018, A SUPERVISORA DE ENFERMAGEM, SAO MUITO COMPETENTES, PRESTATIVAS E AMOROSAS. ALA C"
"8";"GOSTEI MUITO DO ATENDIMENTO, ATENDENTE PAULA, MUITO ATENCIOSA SE INTERESSOU PELO MEU PROBLEMA."
"9";"FUI ATENDIDO POR O FUNCIONARIO CLEITON MUITO BOM, OTIMO"
"10";"ATENDIMENTO EXCELENTE (CLEITON)"
