"";"."
"1";"FUI FURTADO NO DIA 12, REGISTREI BO ON LINE, SENDO QUE FIQUEI SEM CARTEIRA COM TODOS OS DOCUMENTOS E DINHEIRO E QUANDO FUI RECLAMAR NO POSTINHO DA ENFERMAGEM NO DIA 13/05 POR VOLTA DAS 10 H FUI MALTRATADO E A ENFERMEIRA DISSE QUE O PACIENTE TEM QUE ""SE VIRAR"" COM SUAS COISAS COM MUITA GROSSEIRA."
"2";"QUE VOLTE O SERVIÇO DE TELEAGENDAMENTO, O TELEFONE ESTA FORA DO GANCHO A DIAS SO DA OCUPADO."
"3";"GOSTARIA DE SABER COMO ESTA UNIDADE DE SAÚDE TEM QUALIDADE UNA 02, POR QUE O ATENDIMENTO PRESTADO NAO JUSTIFICA. UM LOCAL QUE NAO RESPEITA OS USUARIOS, TODAS AS COSULTAS SAO AGENDADAS POR HORÁRIO, E NINGUEM E ATENDIDO NO HORÁRIO PROPOSTO, CADE A PADRONIZAÇAO, MARCA AS 15:00 ATENDE AS 18:00"
"4";"RELATO A DEMORA DO MEDICO DR PEDRO QUE ESTA ATENDENO COM MAIS DE 2 HORAS DE ATRASO PECO QUE VEJA O DESEMPENHO DO MEDICO DEVIDA A DEMORA QUE NOS DEIXA MUITO PREOCUPA COM TRANSPORTE"
"5";"GOSTARIA DE SABER O QUE ESTÁ ACONTECENDO COM O ATENDIMENTO DO PABX TEL 62 3282-6161, QUE NÓS PACIENTES NAO ESTAMOS CONSEGUINDO MAIS CONTATO VIA FONE INDEPENDENTE DO HORÁRIO, SÓ OCUPADO. A IMPRESSAO QUE TEMOS É QUE TIRAM FORA DO GANCHO."
"6";"A MAIORIA NAO CONHEÇO DOS SERVIÇOS. SÓ CONHEÇO AMBULATORIAL. FIZ UMA PEQUENA CIRURGIA. PARA RETIRAR UM CISTO NO TORAX ME FIZERAO SOFRER.DEMAIS COM DOR. AS MEDICAS NAO ESTAVA DANDO CONTA."
"7";"SOLICITO ATENÇAO AO ATENDIMENTO DO MEDICO DR PEDRO INFECTOLOGISTA E SEMPRE CAUSA TRANSTORNO PARA IRMOS EMBORA O TRANSPORTE NAO ESPERA ELE DEMORA 3 HORAS COM AGENDAMENTO."
"8";"FIQUEI NA EMERGENCIA DAS 09:00 ÁS13:30 E TIVE UM ATENDIMENTO MUITO RUIM. O MÉDICO NAO ESTAVA ATENDENDO."
"9";"QUERO RELATAR QUE FOI SUMIDO DINHEIRO DA BOLSA, TINHA OUTROS PERTENCES PESSOAIS E SUMIU SOMENTE O DINHEIRO NO DIA 09/05/18 PERIODO NOTURNO ALA B"
"10";"RUIM"
"11";"VOCES DEMORAM DEMAIS ESTOU COM PRESSA"
"12";"ATENDIDA SEM EDUCAÇAO"
"13";"NA RECEPÇAO, TEM UM GUARDA P/DEIXAR ENTRAR P/DENTRO DO HOSPITAL. O GUARDA FICA AQUI NA RECEPÇAO DURANTE A SEMANA, NAO COMUNICA DIREITO, É SONSO, LETÁRGICO. MINHA SUGESTAO É QUE P/ MUDE A PESSOA QUE FICA AQUI P/ UMA PESSOA MELHOR DE COMUNICAÇAO QUE OLHE NO OLHO PARA PASSAR UMA INFORMAÇAO. ELE É PÉSSIMO.OBRIGADO. *ELE É DA EMPRESA QUE VOCES CONTRATAM P/SEGURANÇA."
"14";"PESSIMO ATENDIMENTO DE UMA ENFERMEIRA, RISPIDA E DESMOTIVADA PARA TAL FUNÇAO, SUA ARROGANCIA E SUA PREPOTENCIA FERE A FILOSOFIA FO HDT DEMONSTRADA POR OUTROS AGENTES DE TRABALHO."
"15";"""O SERVIÇO DE ATENDIMENTO PELO MEDICO PLANTONISTA  DA EMERGENCIA É EXTREMAMENTE DEMORADO. UM DESRESPEITO AO PACIENTE QUE ESTÁ COM DOR, FEBRE E TER QUE PERMANECER NUMA CADEIRA NA RECEPÇAO AGUARDANDO O MÉDICO CHAMAR, DURANTE MAIS DE QUATRO HORAS."
"16";"LABORATORIO - ATENDIMENTO PÉSSIMO"
