"";"."
"1";"SEGURANÇA SO NO TELEFONE VENDO MENSAGENS NO WATSAPP NINGUEM PASSA INFORMAÇAO, SOMENTE PRA PEGAR RESULTADO DE EXAMES DEMOROU MAIS DE 5 HORAS"
"2";"A FUNCIONÁRIA FATIMA ATENDEU MUITO BEM, COM MUITA ATENÇAO E INFORMAÇAO PRECISA. OBRIGADA A TODOS"
"3";"AQUI MEU IRMAO TEVE UM ATENDIMENTO MUITO RAPIDO NA EMERGENCIA .GRACAS A DEUS POR PROFISSIONAIS AQUI DO HDT AINDA ESTA NA UTI MAIS VAI DAR TUDO CERTO AQUI E OTIMO O ATENDIMENTO"
"4";"O HDT.ESTA COM UM OTIMO ATEDIMENTO PARABENS."
"5";"OTIMO ATENDENTE"
"6";"ÓTIMO"
"7";"ATENDIMENTO PERFEITO OBRIGADA"
"8";"ELE TEM QUE CONTINUAR SEMPRE NA RECEPÇAO UM EXCELENTE FUNCIONARIO (CLEITON)"
"9";"MUITO BOM (ELY)"
"10";"Otimo Atendimento ( ELY)"
"11";"ELA FOI OTIMA (ELY)"
"12";"CONTINUA COMO ESTÁ ESTÁ PERFEITA (ELY)"
