"";"."
"1";"HOJE SO ELOGIO A TODA EQUIPE RECEPÇAO, LIMPEZA, ENFERMEIRAS, MEDICO, REFEIÇAO. NOTA 10 PARA TODOS."
"2";"MUITO BEM ATENDIDA.EQUIPE NOTA 10"
"3";"MUITO BOM O ATENDIMENTO DA RECEPÇAO DO LEITO DIA."
"4";"A FORMA COMO A MEDICAÇAO JÁ CHEGA JUNTO COM O PCT, AS EXPLICAÇOES ANTOS DE TODO PROCEDIMENTO, O CARINHO E ATENÇAO DA GISLENE, ANGELICA E DILVA. DR.RENAM, SUPER ATENCIOSO TAMBÉM, O HDT ESTÁ DE PARABÉNS PELO ATENDIMENTO PRESTADO PELA EQUIPE."
"5";"O ATENDIMENTO É OTIMO. A EQUIPE ESTÁ DE PARABENS."
"6";"OTIMAS EMFERMEIRAS MUITO PRESTATIVAS: DILVA E NAZARIA"
"7";"ELOGIOS A FISIOTERAPIA PORQUE O ATENDIMENTO E PACIENCIA FORAM EXCELENTES.OBRIGADO FISIOTERAPEUTA BRENDA."
"8";"MEU FILHO FOI MUITO BEM ATENDIDO E A BRINQUEDOTECA AJUDA NA RECUPERAÇAO."
"9";"O UNICO PESAR QUE TENHO É QUE NAO EXISTIR TANTOS HOSPITAIS COMO O HDT PARA ATENDER TODA A HUMANIDADE. ECELENTE SERVIÇO! PARABENS"
"10";"NOTA 10 POR TODAS A EQUIPE DE ENFERMEIRA ( O) FAXINA"
"11";"O QUE TENHO A DIZER QUE TODOS VOCES ESTAO DE BARABENS CONTINUI ASSIM PORQUE É MUITO DIFICIL CHEGAR EM UM HOSPITAL E SER MAL ADENDIDA, AGORA AQUI É COMPLETAMENTE DIFERETE VOCES SAO EDUCADO, GENTIL CARINHOSO E AS MENINAS DA LIMPEZA TAMBÉM SAO MUITO BOM E OS FAMILIARES DOS PACINETE TAMBEM SAO MUITO BOM RECEBIDO MIM ORGULHO MUITO DE VOCES PORQUE TRABALHAR EM HOSPITAL NAO É NADA FACIL.PORQUE O JEITO QUE TRATAM TODO MUNDO É MUITO LINDO E QUE DEUS ABENÇO A TODOS VOCE. BEIJOS E ABRACOS A TODOS. ROSA"
"12";"GOSTARIA DE PONTUAR SOBRE O BOM ATENDIMENTO DAS TÉCNICAS DE ENFERMAGEM: EVA E MARIA DE FÁTIMA (FATINHA) POIS AS MESMAS DEMONSTRAM UM EXCELENTE ATENDIMENTO AS CRIANÇAS, DEMONSTRANDO EMPATIA, CARINHO E ATENÇAO DURANTE TODO O SEU PERÍODO DE INTERNAÇAO.
OUTRO PONTO POSITIVO DA UNIDADE É A BRINQUEDOTECA, POIS A PROFISSIONAL RESPONSAVEL É DE EXTREMA IMPORTÂNCIA PARA BOA RECUPERAÇAO DO PACIENTE."
"13";"ELOGIO AO ESTAGIÁRIO STENIO DA PSICOLOGIA. ELOGIO A MÉDICA DA ALA. (ELOÁ)."
"14";"PRA MIM ESTA OTIMO DESDE A RECEPISAO A TODOS OS PROFISCIONAIS"
"15";"POSTO DE ENFERMAGEM DA EMERGENCIA OTIMA
MEDICOS DA EMERGENCIA OTIMOS"
"16";"ATENDIMENTO OTIMO COMEÇANDO DA RECEPÇAO DA EMERGENCIA ATÉ AQUI NA ALA B. MEDICOS EXCELENTE OS ENFERMEIROS TB OS TECNICOS ENFERMAGEM FORAM OTIMOS.
A LIMPEZA MUITO BEM FEITA MENINOS DEDICADOS.COMIDA BOA E QUANTIDADE MUITO BOA TAMBÉM. GOSTEI DE TUDO AQUI OFERECIDO. OS PROFISSIONAIS COMEÇANDO DOS MEDICOS ATE OS MENINOS DA LIMPEZA SAO OTIMOS"
"17";"ATENDIMENTO EXCELENTE COMEÇANDO NA RECEPÇAO ATÉ OS MEDICOS.GOSTAMOS MUITO DOS MEDICOS, DAS ENFERMEIRAS. OS MENINOS DA LIMPEZA MUITO BME FEITA OS PROFISSIONAIS ESTAO DE PARABENS. AS REFEIÇOES OTIMA,NUTRIÇAO E PREOCUPADA COM OS PCTES SE COMEU SE GOSTA DA COMIDA ENFIM TUDO PARA AGRADAR O PTE"
"18";"EU SO TENHO QUE AGRADECER TODOS PELO ATENDIMENTO MUITO BOM MESMO COMEÇANDO DOS MÉDICOS ATÉ OS MENINOS DA LIMPEZA. A LIMPEZA MUITO BEM FEITA SAO MUITO DEDICADOS NO QUE FAZ. GOSTEI MUITO DO ATENDIMENTO DE TODOS OS PROFISSIONAIS COM MUITA DEDICAÇOES. MUITO OBRIGADO HDT PELO ATENDIMENTO OFERECIDO AO MEU PAI ENTROU AQUI MUITO RUIM E SAIU OTIMO."
"19";"MUITO BOM ATENDIMENTO É OTIMO. BEM RESPESTAVEIS BEM HIGIENIZADO BOM MEDICAMENTO GOSTEI MUITO"
"20";"LIMPO E BOM"
"21";"(LETICIA) EXCELENTE ATENDIMENTO"
"22";"ESTÁ BOM O ATENDIMENTO."
"23";"OS BANHEIROS ESTAO LIMPOS E ASIADOS. AS ATENDENTES SAO EDUCADAS E ATENCIOSAS"
"24";"SOU PACIENTE DA DR ANALZIRA. ATENDIMENTO DELA COMIGO OTIMO.
MUITO OBRIGADO POR TUDO: DEUS ABENÇOA TODOS VCS EQUIPES MARAVILHOSAS"
"25";"FUI MUITO BEM ATENDIDO. DRA. MARIANA É UMA OTIMA MEDICA"
"26";"BEM ORGANIZADO E LIMPO. OTIMO ATENDIMENTO MENINAS EDUCADAS."
"27";"OTIMO ATENDIMENTO. FOI OTIMO CONVERSAMOS ELA MIM EXPLICOU MUITAS COISAS"
"28";"EXCELENTE"
"29";"ELI (FOI MUITO BOM PARABENS)"
"30";"TUDO MUITO LIMPO, MUITO BEM AREJADO"
"31";"BOM ATENDIMENTO."
"32";"MUITO BEM RECEPCIONADA NAO TENHO QUE RECLAMAR"
"33";"RECEPÇAO: REGULAR, NAO SAO TODOS QUE ATENDEM COM EDUCAÇAO."
"34";"BANHEIRO LIMPO E CHEIROSO. RECEPÇAO ATENDIMENTO EXCELENTE"
"35";"APENAS PARABENIZAR A PROFISSIONAL QUE ME ATENDEU EXCELENTE PROFISSIONAL CRISTIANE - GUICHE 2"
"36";"MELHORAR O ATENDIMENTO PARA QUEM CHEGA DO INTERIOR DO ESTADO"
"37";"RECEPCIONISTAS MUITO EDUCADOS, PRESTATIVOS E ZELOSO. ESTAO DE PARABENS"
"38";"(ELY) FOI ATENCIOSA NO ATENDIMENTO"
"39";"MUITO LIMPO"
"40";"OTIMO EM TODAS AS AREAS QUE JA CONSULTEI. PARABENS HDT"
"41";"OTIMO"
"42";"MUITO OTIMO"
"43";"FUNCIONÁRIO BASTANTE GENTIL E EDUCADO FAZ EU ME SENTIR ACOLHIDO PELA UNIDADE (CLEITON)"
"44";"ANTES ERA BOM AGORA ESTA MAIS MELHOR JA TEM ATE A TELEVIZAO E MUDADO TUDO"
"45";"VOCE É OTIMA (ELY)"
"46";"MARAVILHOSO"
"47";"BOM"
"48";"ATENDIMENTO OTIMO NO HORARIO EXATO"
"49";"QUERO ELOGIA OTRABALO DASIORA ELIGOMES. PARABES POR TUDO QUETEFEITO PRA EM AJUDAR OS PASIETES QUE PROCURUA"
"50";"(ELY) UMA BOA ATENDENTE OTIMA PESSOA"
"51";"ATENDIMENTO MUITO BOM FICO MUITO GRATO"
"52";"ATENDENTE MUITO PRESTATIVA PARABÉNS! (ELY)"
"53";"OTIMA ATENDIMENTO (ELY)"
"54";"NADA A RECLAMAR FUI BEM ATENDIDO POR AMBAS AS PARTES ATENDENTE E DR. SÓ TENHO QUE AGRADECER A DEUS E TODOS VOCES. OBRIGADO"
"55";"O ATENDIMENTO AQUI É OTIMO OS FUNCIONARIOS DA RECEPÇAO SAO EDUCADOS E PRECISO."
