"";"."
"1";"HOSPITAL O MELHOR DE GOIAS DE DOENCAS TROPICAIS"
"2";"OTIMO CORPO MÉDICO, ENFERMAGEM E SERVIÇOS GERAIS"
"3";"DONA ELI GOSTO MUITO"
"4";"O ATENDIMENTO DE TODOS É OTIMO DEUS ABENÇOE Á TODAS!!! OBRIGADA!"
"5";"GOSTO MUITO DO ATENDIMENTO PRESTADO. PROFISSIONAIS EDUCADOR E PRESTATIVOS!"
"6";"O HOSPITAL NA MINHA VISAO TEVE UM BOM ATENDIMENTO FOI RAPIDO"
"7";"CHEGUEI NO DIA 4-9-2018 COM MINHA FILHA. FOMOS BEM RECEBIDA DES DO PRIMEIRO CADASTRO DELA E DA CONSULTA COM DRA MUITO EXCELENTE EDUCADA DEU A MAIOR ATENÇAO A NÓS .FUI PARA ENFERMARIA  FUI BEM RECEBIDA AS MEDICAS DA PEDIATRIA DRA LIVIA E LUDMILLA E OUTRAS. E AS ENFERMEIRAS DO HOSPITAL. AS MEDICAS DA U.T.I  MUITO BOAS E AS ENFERMEIRAS TAMBEM.OBRIGADA SÓ TENHO AGRADECER A TODAS AS EQUIPES DO HOSPITAL H.D.T QUE DEUS ABENÇOE VOCES. TODOS. AGRADEÇO O BRUNO QUE MIM DEU A MAIOR FORÇA NOS MOMENTOS DIFICEIS ELE ESTA SEMPRE ME AJUDANDO CONVERSANDO COMIGO E MINHA FAMILIA GOSTOU MUITO DELE. CONTINUE ASSIM BRUNO BRILHANDO COM ESSE GESTO DE AMOR PELAS CRIANÇAS E PESSOAS ADULTA. QUE DEUS TE ABENÇOE"
"8";"QUE DEUS ABENÇOE A TODOS CADA DIA MAIS CAPACITANDO, DANDO CORAGEM, COMO SEMPRE. QUE SEMPRE VOCES TENHAO O AMOR PELO PROXIMO. NAO TENHO NADA PARA QUESTIONA. MAIS PARA AGRADECE"
"9";"FOMOS ATENDIDOS RAPIDO.SAO TODOS MUITOS EDUCADOS. PRESTATIVOS: EM GERAL"
"10";"UM OTIMO HOSPITAL NAO TEM COMO RECLAMAR MUITO LIMPO HOSPITAL"
"11";"COMO DEMORA PRO RESULTADO"
"12";"REFERE OTIMO ATENDIMENTO DA PSICOLOGIA"
"13";"PARABENS PELO GESTO DE GENEROSIDADE COM MINHA FILHA PARABEN DONA ELY GOMES"
"14";"ATENDIMENTO OTIMO"
"15";"AMO ESTE HOSPITAL TUDO DE BOM"
"16";"NADA A DESEJAR EXCELENTE ATENDIMENTO"
"17";"O ATENDIMENTO COM RAQUEL FOI ÓTIMO NAO TEM MELHOR DEUS ABENÇOE VCS SEMPRE."
"18";"ATENDENTE LETICIA SUPER ATENCIOSA E DEDICADA NO ATENDIMENTO"
"19";"OTIMO"
"20";"CONTINUE ASSIM. PARABÉNS"
"21";"ATENDIMENTO OTIMO UM EXCELENTE PROFISSIONAL NOTA 1000"
"22";"A SENHORA QUE ENTREGA A SENHA DA CONFIRMAÇAO DE CONSULTA NO DIA  DE HOJE 12-09 AS 08:00 HS DA MANHA É MUITO SEM EDUCAÇAO, SEM COMPREENSAO COM LIDAR COM MUITOS PACIENTES, UMA INTOLERANTE DESCAPACITADA PARA LIDAR COM PÚBLICO."
"23";"FUI MUITO BEM ATENDIDA NOTA 10"
"24";"muito bom nota 1000"
"25";"MUITO BEM ATENDIDA"
"26";"EXISTE COISAS BOUA PUBLICA. ESSE HOSPITAL É UM PEDACINHO DO CÉU PARA MUITOS DOENTES SE SALVAREM"
