"";"."
"1";"PRECISA MELHORAR A DOAÇAO DE REMÉDIOS NA FARMÁCIA DE HOSPITAL"
"2";"ATENDENTE MARCOU A CONSULTA ERRADO ATENDIMENTO CHEGA NAO CONSULTA POR FALHA  DELLA ATENDIMENTO JA FOI BOM HOJE TA PESSIMO"
"3";"OS ATENDENTES DA RECEPÇAO TEM QUE TER MAIS EDUCAÇAO COM OS PACIENTES NEM TODOS SABEM LER OU ESCREVER AINDA MAIS OLHAR NA TELA DA SENHA. E AQUI NO HOSPITAL DEVERIA TER UMA PESSOA PARA ORIENTA ESSAS PESSOAS PARA QUE OS ATENDENTE NAO OS MALTRATA. NAO VOU COLOCAR MEU NOME PARA QUE NAO SEJO PREJUDICADO NO TRATAMENTO."
"4";"PRECISO MELHORAR MAIS NOS ATENDENTE DOS MEDICOS. ATENDIMENTO DOS MEDICOS E MUITO PESIMO"
"5";"TROCAR A CADEIRA DE BANHO ESTA COM RODAS QUEBRADAS E BELISCA NO ASSENTO."
"6";"QUERIA RECLAMAR DA MOÇA QUE LEU PARA NOS PACIENTE QUE 31/ABRIL A FARMACIA NAO VAI ABRIR QUE AGENDE TEM 31 DE ABRIL SOCORRO E TEM A MULHER NAO GOSTA DO QUE FAZ NEM TEM AMOR, SO QUE GANHAR DINHEIRO E SUPERVISORA DO AMBULATORIO"
"7";"O TEMPO DE ESPERA PARA CONSULTA COM O MEDICO, PRECISA MELHORAR MUITO."
"8";"PODIA MELHORAR A CADEIRA PARA O ACOMPANHATE SE PRECIZAR DE PASSAR A NOITE."
"9";"OBS: ESTOU INDGNADA COM A FALTA DE INFORMAÇAO REPASSADA PELA UTI POR QUE ESTOU COM FILHO INTERNADO NA UTI. PRECISANDO URGENTE DE FAZER UMA CIRURGIA NO HUGO, E NOS DISSERAM PRA VIR HOJE (15-09-2018) AS 8:H PARA ACOMPANHAR ELE NA CIRURGIA-ESTAMOS AQUI DESDE 8:HORAS E NESSE MOMENTO JÁ SAO 13?30 E NADA DE AMBULANCIA OU OUTRO PARECER PARA TOMAR PROVIDENCIA"
"10";"FUI INFORMADA QUE DEVERIA CHEGAR AS 8HRS DA MANHA PARA ACOMPANHAR MEU IRMAO EM UMA CIRURGIA E JÁ SAO 12:45 E AINDA ESTOU AGUARDANDO SEM RECEBER ESCLARECIMENTOS; PAGO MEUS IMPOSTOS E MERECO SER TRATADA COM UM MINIMO DE RESPEITO, BASTA A CARGA EMOCIONAL QUE TENHO ENFRENTADO!"
"11";"DEMORA NO ATENDIMENTO DA ENFERMAGEM NO PERIODO NOTURNO."
"12";"MUDAR O HORÁRIO DA JANTA. POIS É MUITO CEDO"
"13";"ENFERMAGEM 23 P/ 24 DO 9/2018 PERÍODO NOTURNO PESSIMA. ENFERMEIRA PADRAO DO DIA 24 P/25/9/2018 (PÉSSIMA, GROSSA)DO PERÍODO NOTURNO."
"14";"MELHORAR A CLIMATIZAÇAO. MELHORAR O ATENDIMENTO PÓS CONSULTA, MAIS AGILIDADE PARA RESOLVER OS PROBLEMAS"
"15";"COLOCAR FRIGOBAR NOS QUARTOS."
"16";"PACIENTE QUEIXA QUE GOSTARIA QUE TIVE TELEVISAO DEVIDO PASSAR MUITOS DIAS"
"17";"OBS. PELA MANHA NADA A DECLARAR DA ENFERMAGEM MAS Á NOITE. AS MEDICAÇOES SAO MINISTRADAS MUITO FORA DE HORA A NOITE"
"18";"PACIENTE RELATA QUE PASSOU FRIO DEVIDO A JANELA NAO FECHAR"
"19";"COLOCAR TELEVISAO NO QUARTO. FORNECER MAIS CONFORTO PARA OS ACOMPANHANTES, UMA CADEIRA/POLTRONA MELHOR."
"20";"A ESCADINHA DO QUARTO NAO É SEGURA, TEM QUINA. COLOCAR FIRGOBAR NO QUARTO.FALTA UMA MANIVELA NA CAMA E TELEVISAO NO QUARTO."
"21";"COLOCAR FRIGOBAR E TELEVISAO NOS QUARTOS."
"22";"ENFERMAGEM Á NOITE FALTA ASSISTENCIA E O PESSOAL MAU HUMORADO"
"23";"MELHORA NO TEMPO DE ESPERA, TRANSFERENCIA PARA O QUARTO. MELHORA DAS INFORMAÇOES FORNECIDAS PELOS FUNCIONÁRIOS INDEPENDENTE SE O PACIENTE É SEU OU NAO. COLOCAR BARRA DE APOIO NOS BANHEIROS."
"24";"QUERIA QUE TIVECE MAIS CARNE FRETA E SUCO"
"25";"DEMORO NO ATENDIMENTO"
"26";"A SENHORA QUE FICA NA RECEPÇAO E POUCO MAL EDUCADA"
"27";"NADA A RECLAMAR SÓ O ESTACIONAMENTO PORQUE NAO TEM PARA PESSOAL DEFICIENTES, FICA DIFICIO"
"28";"CHEQUINHO FAZ MUITA FALTA PRA NOS."
"29";"TROCA A ATENDENTE DA SENHA POR FAVOR PESSIMA PESSOA"
"30";"VOLTAR OU RETORNAR O CHEQUINHO"
