"";"."
"1";"MEUS GRATOS ELOGIOS A EQUIPE DE ENFERMAGEM QUE ESTÁ SEMPRE PRONTA P/ QUALQUER EMERGENCIA, AGRADECIMENTOS TAMBÉM AO SERVIÇO SOCIAL DO HOSPITAL, CUJO O QUAL ME CONCEDEU INFORMAÇOES IMPORTANTES PARA CONTINUIDADE DO MEU TRATAMENTO E POR ÚLTIMO, MAS NAO MENOS IMPORTANTE UM ENORME AGRADACIMENTO A TODA EQUIPE MEDICA DO HOSPITAL."
"2";"AGRADEÇO PELO ANTENDIMENTO E PELO ACOLHIMENTO E TODA EDUCAÇAO"
"3";"EU, PATRICIA R. DE SOUZA, N TENHO O QUE RECLAMAR DESTE HOSPITAL FUI NEM TRATADA COMO ACOMPANHANTE E MINHA FILHA COMO INTERNA NOSSA FORAM TODOS OTIMOS, SO TENHO AGRADECER A TODOS, PEÇO A DEUS Q ABENÇOE TODOS"
"4";"TODOS MUITO PACIENTES COM QUEM ESTÁ INTERNADA. FOI POSSÍVEL VER CARINHO NOS PROFISSIONAIS ENQUANTO ESTIVE AQUI ME DEIXOU SEGURA E OS RESIDENTES MUITO PREOCUPADOS EM SEMPRE ME EXPLICAR TUDO, NAO ME DEIXARAM SEM INFORMAÇAO MOMENTO ALGUM. ME SENTI ACOLHIDA FOI O MELHOR DE TUDO."
"5";"QUERO DEIXAR GRANDES ELOGIOS AS ENFERMEIRAS JANETE , DILVA, ANGELICA POR SEREM COMPETENTES, ATENCIOSAS E PRESTATIVAS E EFICIENTES, SEMPRE COMO BEM ATENDIDOS"
"6";"GOSTARIA DE PARABENIZAR AS TECNICAS EM ENFERMAGEM, POIS MINHA MAE FOI PICADA POR UM ESCORPIAO NA NAO, E ELAS FORAM MUITO ATENCIOSOS, SEMPRE PREOCUPADAS E PERGUNTANDO SE HAVIA MELHORADO E ACIONARAM O MÉDICO VÁRIAS VEZES. PARECEM TER MUITO TEMPO DE PROFISSAO E FICO FELIZ DE SABER O TANTO QUE AINDA SAO SENSIVEIS COM A DOR DO PROXIMO. FICA MEU MUITO OBRIGADO. NAO SEI O NOME, DELAS, MAS SAO 2 SENHORAS (TECNICAS EM ENFERMAGEM QUE ESTAVAO NA ALA DIA NO DIA 23/01/2019"
"7";"QUERO ELOGIAR A ALICE E LILIANE (RECEPCIONISTA) PESSOAS PRESTATIVAS E EFICAZES"
"8";"VIM DA CIDADE DE QUIRINOPOLIS FUI BEM ATENDIDA POR TODOS OS FUNCIONÁRIOS PARTE MEDECA EXCELENTE. PARTE DA COMIDA OTIMO LIMPEZA TAMBEM AMEI PARABENS EQUIPE HDT"
"9";"EU MORO EM FRANCA SP OBRIGADA POR TUDO"
"10";"TEM UMAS ENFERMEIRAS MUITO ATENCIOSAS E MEDICAS TAMBEM."
"11";"DEIXO MEUS ELOGIOS AOS PROFISSIONAIS DA UTI PEDIATRICA PELO BOM ATENDIMENTO E CUIDADO COM O PACIENTE E ACOMPANTE"
"12";"ELOGIO PELA LIMPEZA"
"13";"VOCES E TUDO BOM FICA COM DEUS"
"14";"MUITO BOM ESSE PROJETO DA BRIQUEDOTECA, PARA QUE AS CRIANÇAS POSSAM INTERAGIR. O APOIO PISCICOLOGIA MUITO BOM. A MEDICA PEDIATRA, E TODOS OS OUTROS BEM ATENCIOSOS. SUPER INDICO"
"15";"ELOGIO A TODOS POR TUDO QUE TEM FEITO PELO FILHO"
"16";"A ALA DA BRINQUEDOTECA É UM PROJETO MUITO BOM, PARA AS CRIANÇAS INTERAGIR COM OUTRAS CRIANÇAS. A QUESTAO DA ENFERMAGEM MUITO ATENCIOSOS E OS DEMAIS PROFISSIONAIS TAMBÉM. OBRIGADA PELA ATENÇAO DE TODOS"
"17";"VENHO PRESTAR MINHA SATISFAÇAO COM O ATENDIMENTO PRESTADO AO MEU PAI RAIMUNDO ANTÔNIO SANTOS, ELE ESTÁ SENDO MUITO BEM ASSISTIDO TODOS OS FUNCIONARIOS DESSA UNIDADE. QUERO ELOGIA EM ESPECIAL OS SEGUINTES PROFISSIONAIS: DOUSTRIA E CARLA SIMONE (SERVIÇO SOCIAL),ANA PAULA COUTINHO E LARISSA PIMENTEL (EQUIPE MEDICA; NATHANE E LEUSIVÂNIA TEREZINHA (ENFERMEIRA); HELIO E MAIS APARECIDA (TÉCNICADE ENFERMAGEM), FISIOTERAPEUTAS KAMILA E FERNANDA"
"18";"TODOS OS PROFISSIONAIS NOS TRATAM MUITO BEM. PARABÉNS A TODOS!"
"19";"UM ATENDIMENTO HUMANITARIO OTIMA RECEPCAO MOSTRA MESMO QUE SE PREOCUPA COM O DOENTE E AGRADEÇO POR VOCE EXISTIREM MÉDICOS OU ANJOS DE DEUS"
"20";"BANHEIROS LIMPISSIMOS. RECEPÇAO: OTIMOS, MUITO PRESTATIVOS E EDUCADOS. CONSULTORIOS: EXCELENTES MUITO BOM. PRA MINHA PESSOA ESTA ÓTIMO O ATENDIMENTO"
"21";"ELOGIAR O ATENDENTE DA FUNCIONARIA, SABE ORIENTAR COM PRECISAO. PARABENS PELO SEU TRABALHO HUMANIZADO ELY GOMES. PARABENIZO O ATENDENTE CLEITON PELO SEU CARINHO O MESMO FOI BASTANTE EDUCADO E ATENCIOSO CONSEGUIU RESOLVER MEU PROBLEMA ( FALTA DE MEDICAMENTO)"
"22";"SEMPRE BEM INFORMADA E PREPARADA PARA LIDAR C/ QUALQUER IMPREVISTO, VISANDO AJUDAR O PACIENTE QUE É SUA PRIORIDADE"
"23";"RECEPÇAO: UMA EQUIPE BOA, SEMPRE EMPENHADAEM AJUDAR O PACIENTE, VEJO QUE ELES SE PREOCUPA COM AS PESSOAS. O POUCO QUE TENHO CONHECIMENTO, A MINHA MEDICA E UMA PESSOA MUITO BOA, SEMPRE PRESTATIVA, FAZENDO O MELHOR QUE PODE. POR SER UM HOSPITAL PUBLICO, SO TENHO QUE AGRADECER O BOM TRABALHO QUE ESSA UNIDADE PRESTA PROS PACIENTE QUE VEM BUSCAR ATENDIMENTO, PARABENSA TODOS QUE AQUI TRABALHAM."
"24";"OTIMO ATENDIMENTO."
"25";"BANHEIRO: MAIS SEMPRE LIMPOS. RECEPÇAO: ESTOU SATISFEITA COM O ATENDIMENTO"
"26";"ALA B OTIMO ATENDIMENTO"
"27";"ATENDIMENTO NO GUICHE BOM"
"28";"BANHEIRO: OTIMO, LIMPO PARABENS. RECEPÇAO: ATENDIMENTO EXCELENTE! PARABENS"
"29";"SE NAO FOSSE A SRA. ELI EU NAO TERIA PEGO A MINHA MEDICAÇAO JÁ QUE ESTOU ESPERANDO UMA CONSULTA (QUE DESDE O ANO PASSADO ESTOU ESPERANDO) NO CENTRO DE REFERENCIA"
