"";"."
"1";"OS QUARTOS PRECISAM SER MAIS VENTILADOS"
"2";"RECEPICÇAO, PECIMO, MAL ATENDIDO"
"3";"UNIDADES DE SAÚDE NAO INFORMARAM VIR P/ HDT DIRETO. CHEGAMOS 6:15 NO HDT O ATENDIMENTO DAS 6 HS MANDOU ESPERAR POIS A TROCA DE PLANTAO. DEPOIS DE SEREM PRECIONADOS DEVIDO A UM CONTATO DE UM MEDICO, A PEDIATRA, APARECEU NA RECEPÇAOM SÓ PERGUNTOU O PESO E DISSE QUE O PROBLEMA NAO ERA DA RESPONSABILIDADE DELA (FILHO 13 ANOS), PASSOU BEM DEPOIS P/ UM PLANTONISTA E AÍ INICIOU O ATENDIMENTO, CONTINUANDO COM MÉDICA PEDIÁTRICA (OUTRA) QUE NOS ATENDEU BEM AS 8:15 E ENCAMINHOU P/ OS EXAMES. CONFIRMANDO QUE É RESPONSABILIDADE DA PEDIATRIA. FALHAS: FORMAÇAO, INFORMAÇAO E EDUCAÇAO. DEPOIS DAS 8:15 MELHOROU A QUALIDADE .POSTO DIA PROFISSIONAIS HUMANOS."
"4";"ABSURDO! PACIENTE COM DORES NO PATIO E VOMITO. E QUASE 20 MINUTOS PARA ATENDER!"
"5";"VENHO POR MEIO DESTA COMUNICAR UMA RECLAMAÇAO DO GUARDA VALDIVINO. EU ESTOU DORMINDO DO DIA 05 PARA DIA 06 PARA UMA CONSULTA COM ENFECTOLOGISTA NIMGUEM ME GUDOU EM NAO UMA SENHORA ME TROUXE COMIDA NEM UM CAFE ME DERAM, ENQUANTO O GUARDA DEU UM CAFE PARA ACONPANHANTE DE UM PACIENTE ELA É BONITA E FORTE, ELE E OUTRA PESSOA PORTADO NAO GANHAMOS NADA NADA"
"6";"UM ABSURDO! EMERGENCIA. MEU MARIDO PACIENTE DESTES HOSPITAL, CHEGOU PASSANDO MUITO MAL COM VOMITO DE DORES NO PEITO E ESPERANDO HÁ QUASE20 MINUTOS. ABSURDO (04/01/2019)"
"7";"EU ACHEI UM ABSURDO, MINHA IRMA ESTAVA INTERNADA NO CAIS BAIRRO GOIÁ DO OUTRO LADO DA CIDADE CHEGAMOS AQUI SIMPLESMENTE TIVEMOS QUE PASSAR POR UMA TRIAGEM E AGUARDAR POR EXAMES POR DUAS HORAS. A PESSOA CHEGA DEBILITADA E FICA AGUARDANDO SENTADA EM RECEPÇAO. É UM DESCASO NA MINHA OPINIAO"
"8";"ATENDIMENTO RUIM PELA RECEPÇAO. PACIENTE VEIO ENCAMINHADO DE OUTRO HOSPITAL HODE ESTAVA INTERNADA. FICO 2 HORA E MEIA NA RECEPÇAO AGUARDANDO RESULTADO DE EXAME. A PACIENTE PASSANDO MAL NA RECEPÇAO AGUARDANDO O RESULTADO PRA VER SE VAI SER RECEBIDA PELO HOSPITAL"
"9";"NAO HÁ ACOMODAÇAO PARA OS ACOMPANHANTES PASSAREM A NOUTE, O QUE PODE RESULTAR NA QUEDA DA IMUNIDADE DOS MESMOS. É VERGONHOSO PARA UMA os TAO BEM CONCEITUADA NAO FORNECER ISSO E OBRIGAR O ACOMPANHAMENTO."
"10";"MUITO CALOR NOS QUARTOS DURANTE A NOITE"
"11";"ENFERMAGEM NAO SAO MUITO PACIENTES, SAO ESTRESSADAS (NOITE)"
"12";"PODERIA TER UMA CADEIRA QUE SE MODIFICA EM UMA PEQUENA CAMA POIS SE TORNA MUITO CANSATIVO FICAR MAIS DE 6:00 HORAS NO QUARTO DE INTERNAÇAO SEM TER UM MAIOR INCOMODO DEVERIA SER CONFORTAVEL  POIS PRECISAMOS O PACIENTE COM MAIS DESCANSSO"
"13";"RELATA QUE GOSTARIA DE MAIS CONFORTO PARA ACOMPANHANTE CADEIRA RUIM."
"14";"""BOM DIA"" RECLAMAÇAO É CONTRA A PESSOA DA ENFERMEIRA ""LIVIA"" DO PLANTAO NOTURNO, QUE FOI PLANTONISTA DO DIA 23 PARA 24 JANEIRO(HOJE) ESPERO QUE VOCES TOMEM A MEDIDA CABIVEIS, POIS E MAL EDUCADA, IGNORANTE, BRUTA, NAO SE ENQUADRA COMO ENFERMEIRA PADRAO, AFINAL SAO SERES HUMANOS E QUEREMOS RESPEITO, DEVERIA SER VETERINARIA E NAO ENFERMEIRA AFINAL SOMOS DOENTES NAO PORQUE QUEREMOS, MAS EU EGIJO RESPEITO E EDUCAÇAO COM A MINHA PESSOA, ESSA LIVIA DEVE SER PUNIDA LIDA COM PESSOA E NAO COM ANIMAIS , ETICA E CARATER NASCEMOS COM ELAS, E NAO COMPRAMOS, AFINAL, DEVE ESTAR COM PROBLEMAS, MAS NAO DEVE DESCONTAR COM PACTES POIS NAO TEMOS CULPA DISSO. AGUARDO RESPOSTA DESSA RECLAMAÇAO. ""CHAMA LIVIA"""
"15";"RELATA QUE OS PROFISSIONAIS NAO SE IDENTIFICA QUEM SAO"
"16";"RELATA QUE A ENFERMAGEM NAO ATENDE BEM QUANDO PRECISAR DEMORA MUITO TURNO NOITE"
"17";"FALTA DE ATENÇAO DA ENFERMAGEM"
"18";"ENTRAR PARA VISITA COM MENOS IDADE"
"19";"EU, JOSEFA SILVA, E ENFERMEIRA DO TRABALHO NO PERÍODO DA TARDE, VIM FAZER UMA VISITA E FUI BARRADA PORQUE SÓ QUEM PODE VISITA FORA DE HORA E MEDICO, OU SEJA, ENFERMEIRA NAO TEM VALOR NENHUM"
"20";"SOBRE A CONFIRMAÇAO DE CONSULTA. O PACIENTE CONFIRMAR NA RECEPÇAO E NAO PODE FAZE - LO. NAO VEJO NENHUM SENTINDO DE CONFIRMAR SOMENTE 30 MINUTOS ANTES. NO MEU ENTENDIMENTO DEVERIA DINAMIZAR E NAO TUMULTUAR TUDO EM CIMA DO HORARIO. ESTA HORIVEL. ACHO QUE DIREITO DO PACIENTE CONFIRMAR LOGO APÓS CHEGAR NA UNIDADE. MINHA CONSULTA SERÁ AS 13:30, CHEGUEI ÁS 11:30 E NAO PUDE CONFIRMAR. ACHO QUE DEVERIAO REVER ESTA DETERMINAÇAO. LUIZ"
"21";"RECEPÇAO: MUITO CHEIO. CONSULTÓRIOS: DEMORA NOS RETORNOS"
"22";"BANHEIROS: POR SER MUITO LOTADO, ACHO QUE DEVERIA SER LIMPO MAIS VEZES."
"23";"BANHEIRO: MUITO VELHOS NECESSITANDO DE REPAROS."
"24";"BANHEIROS: POR SER BANHEIRO SÓ LIMPAR MAIS VEZES"
"25";"ALA C NOTA 7, ENFERMEIROS DEMORAM A ATENDER O CHAMADO DOS PACIENTES."
"26";"ENTREGA DE FICHA MUITO RUIM"
"27";"ME QUEIXA VEM DESDE 26/11/2018, QUANDO TINHA UMA CONSULTA COM O GASTRO AS 13:00H. AS 12:30. A SRaDOMELUZ DEU A SENHA E TIVE QUE ATUALIZAR ENDEREÇO ENQUANTO ISSO O DR ROMULO ME CHAMOU PONTUALMENTE, PARA MINHA SORTE, MINHA MAE ESTAVA NAS CADEIRAS PARA SER CHAMADA E EU NA RECEPÇAO NAO OUVIR NADA. QUE LEI É ESSA, CONSTA NO ESTATUTO CRM DORIVA E DOMELUZ SEMPRE ALEGAM QUE PARA NAO FICAR CHEIA. ABSURDO. ESPERO UMA RESPOSTA PORQUE MEU IRMAO JÁ TEM RECLAMADO OS DESMAZELOS NA SECRETARIA DE SAUDE DE GOIANIA. AGUARDO RETORNO E MUDANÇAS! VAMOS DEPETALIZAR,A CABAR COM CABIDE DE EMPREGO. MARCIO ROBERTO SANTOS. DATA DO ATENDIMENTO 04.01.2019"
"28";"PRECISA DE VEZ EM QUANDO EDUCAÇAO DOS PACIENTES SOBRE AS CADEIRAS PREFERENCIAIS EU FIQUEI EM PÉ, ESTAVA CHEIO E TODAS OS LUGARES PREFERENCIAIS OCUPADOS POR PESSOAS JOVENS. SEI QUE NAO É CULPA DOHOSPITAL MAS SE PUDER COLABORAR É BOM OBRIGADO"
