"";"."
"1";"EU SO TENHO A AGRADECER VOCES FORAM UM ANJO NA VIDA DO JONATHAN, E NA NOSSA VIDA..PARABENS PELO ATENDIMENTO E ATENÇAO OBRIGADO POR TUDO"
"2";"FOI OTIMO O ATENDIMENTO. GRAÇAS A DEUS OCORREU TUDO BEM REALIZEI TODOS OS EXAMES QUE A MÉDICA ME PEDIU. FOI MUITO BOM. DESDE JÁ MUITO OBRIGADO."
"3";"TUDO MUITO BOM OU OTIMO. QUERIA FICAR MORANDO AQUI"
"4";"TUDO BOM"
"5";"QUERO ELOGIA O TRABALHO DA ENFERMEIRA DIRCE (TRIAGEM), ALICE E LILIANE DA RECEPÇAO PELO EXCELENTE ATENDIMENTO"
"6";"EU ACHO O ATENDIMENTO OTIMO RECEPÇAO.ATENDIMENTO MEDICO EXAMES SEMPRE TODOS PRESTATIVOS TUDO BOM. SAO EDUCADOS"
"7";"SOU VISITANTE FIQUEI MUITO SATISFEITO VIM FAZER VISITA DA EMERGENCIA FIQUEI MUITO SATISFEITO TUDO LIMPO FUI MUITO BEM RECEBIDO"
"8";"O CARINHO QUE TEM COMIGO. (PACIENTE)"
"9";"ELOGIO O ATENDIMENTO MEDICO E DE TODOS OS PROFISSIONAIS DO HOSPITAL"
"10";"ELOGIOS PARA TEC CLEITON E TC EM NUTRIÇAO"
"11";"SOU GRATO POR CADA ATENDIMENTO ATRAVÉS DE CADA ETAPA REALIZADA PELOS AGENTES DA EQUIPE MULTIPROFISSIONAIS. ""SÓ DAMOS O QUE POSSUÍMOS , ELES TEM DADO O MELHOR DE SI COM TODOS OS EQUIPAMENTOS E PARTE FISÍCA QUE PROPORCIAM P/MELHOR ATENDIMENTO."
"12";"TUDO DE BOM"
"13";"MUITO BEM RECEBIDO"
"14";"CONTINUE COM A MESMA ATENCAO DO ATENDIMENTO."
"15";"(CLEITON) OTIMO FUNCIONÁRIO"
"16";"(CLEITON) OTIMO FUNCIONARIO MUITO EDUCADO"
"17";"(CLEITON) PARABENS PELA A ESCOLHA FUNCIONARIO MUITO COPETENTE"
"18";"MUITO BOM E MUITO ATENCIOSO COM OS PACIENTES"
"19";"(CLEITON) OTIMO ATENDIMENTO"
"20";"EU SO TENHO QUE AGRADECER A TODOS DO HDT"
"21";"OTIMO"
"22";"NADA RECLAMAR OTIMO"
"23";"OTIMO ATENDIMENTI, PARABÉNS A TODA EQUIPE MEDICA E DE ATENDIMENTO"
"24";"O ATENDIMENTO FOI OTIMO GOSTEI MUITO DAS DOUTORAS"
"25";"(ELY)BOA RECEPIÇAO ATENDIMENTO EXELENTE SEMPRI FUI BEM ANTENDIDA OBRIGADA POR SER ESSA PESSOA ATECIOSA"
"26";"BOM DIA QUANDO CHEGO PARA PEGAR A SENHA COM ELA RECEBEMOS SEMPRE UM SORIZO NO ROSTO SEMPRE PBRIGADO ELY POR NOS RECEBERMOS SEMPRE ASSIM QUE DEUS POSSA ESTA SEMPRE TE ABENCOANDO VOCE E SUA FAMILIA OBRIGADO"
"27";"ATENDIMENTO ÓTMO;RESPOMSABILIDADE,ATENÇAO, EDUCAÇAO"
"28";"GOSTO MUITO DELA"
"29";"É MUITO LEGAL E EDUCADA OTIMA"
"30";"ESTA DE PARABENS A DIRETORIA DO HDT BEM COMO OS ATENDENTES E AS MEDICAS PELO ATENDIMENTO DISPENSADOS. A MIM PLEO VISTO A TODOS, QUE CONTINUE ASSIM N VEREMOS MAIS RECLAMAÇOES PELOS ATENDIMENTOS DISPENSADOS P/ REDE PUBLICA DE SAUDE"
"31";"OTIMA INFORMA MUITO BEM TUDO"
"32";"ATENCIOSA"
