"";"."
"1";"GOSTARIA DE ELOGIAR O ATENDIMENTO DA LUCIA AUXILIAR ADMINISTRATIVO EXCELENTE PROFISSIONAL, OTIMO ATENDIMENTO, PRO ATIVA E MUITO EDUCADA"
"2";"ESTE HOSPITAL ESTA DE PARABÉNS A TODA EQUIPE DEUS OS ABENÇOE"
"3";"MINHA SUGESTAO E QUE ESTÁ CADA VEZ MELHOR, OK. BEIJOS A TODOS. OBRIGADO POR TUDO."
"4";"A FUNCIONÁRIA LUCIA MARIA E A DR. BEATRIZ ATENDEU SUPER BEM. PARABÉNS A TODOS E QUE DEUS ABENÇOE TODOS VOCES"
"5";"TUDO DE BOM, ALEGRIA, PAZ, SAÚDE E HARMONIA"
"6";"OTIMO ATENDIMENTO, ENFERMAGEM PRESTATIVA E MEDICO COMPETENTES"
"7";"ESTOU SATISFEITO COM O ATENDIMENTO PRESTADO AO PACIENTE E A NÓS VISITANTES. PARABÉNS TUDO DE MUITA QUALIDADE"
"8";"ATENDIMENTO BOM E RÁPIDO"
"9";"HOTIMO ATENDIMENTO DO HOSPITAL"
"10";"BOM"
"11";"OTIMO!!!"
"12";"OTIMO ATENDIMENTO"
"13";"SEMPRE SOU BEM ATENDIDO POR TODOS. MUITO OBRIGADO. FELIZ NATAL"
"14";"PARABÉNS AO ATENDIMENTO DESDE A RECEPÇAO ATÉ OS DEMAIS"
"15";"O RECEPCIONISTA CLEITON É UM AMOR!"
"16";"NEUMA, NADA P/MELHORAR ESTÁ OTIMO"
"17";"QUE DEUS ILUMINA ESSA INSTITUIÇAO HOSPITALAR FELIZ NATAL"
"18";"MOÇO MUITO ATENCIOSO E ORIENTA COM DETALHES"
"19";"DRa ESTER MARAVILHOSA"
"20";"MARAVILHOSO ATENDENTE"
"21";"MUITO BOM OTIMO"
"22";"OTIMO, BOM"
"23";"FOI MUITO EDUCADO"
"24";"EU SO TENHO A FALAR BEM DO HOSPITAL"
"25";"MUITO BEM ATENTIDO"
"26";"PAZ ALEGRIA HARMONIA"
"27";"MUITO EDUCADA, ATENCIOSA, BOA FUNCIONARIA"
"28";"SEMPRE FUI BEM TRATADA AQUI VOCES ESTAO DE PARABÉNS"
"29";"VOCES SAO MARAVILHOSO. TUDO DE BOM."
"30";"ATENDIMENTO OTIMO"
"31";"A ATENDENTE SEMPRE NOS ATENDE DE FORMA RESPEITOSA E GENTIL, ISSO FAZ TODA DIFERENÇA NO ATENDIMENTO."
"32";"ACHO TUDO MARAVILHOSO SEMPRE SOU MUITO BEM ATENDIDO. FELIZ NATAL"
"33";"TUDO DE BOM"
"34";"O MELHOR"
"35";"MUITO EFICIENTE O ATENDENTE CLEITON QUE DEUS TE ABENÇOE EM TODA SUA FAMILIA ""PARABÉNS"""
"36";"MUITO BOM"
"37";"TECNICAMENTE MUITO BOM SEM COMPARAÇAO NOTA 1000"
"38";"OTIMO"
"39";"EXCELENTE PROFICIONAL"
"40";"MUITO PRESTATIVO"
"41";"MUITO ATENCIOSO"
"42";"PARABENS"
"43";"PESSOA MUITO ILUMINADA"
"44";"ESTA DE PARABENS"
"45";"NADE A RECLAMA"
"46";"OTIMO ATENDIMENTO MEDICO EFETUADO PELA DR. NAIANE CHAVES"
"47";"DR.GISELE ESTÁ DE PARABÉNS! ATENDIMENTO MAIS QUE HUMANIZADO"
"48";"PARA MIM TUDO BOM MELHO ESTRAGA FELIZ ANO NOVO"
"49";"TODO SAO EXCELENTE"
"50";"FOI OTIMO O ATENDIMENTO FELIZ ANO NOVO CHEIO DI PAZI E SAUDI DEUS ABENÇOA"
"51";"O DR. GUSTAVO, SERVE COMO EXEMPLO DE COMO UM MEDICO, DEVE TRATAR O PACIENTE. PARABÉNS PARA ELE PELO SEU ATENDIMENTO MARAVILHOSO"
"52";"OBS: MUITO BOM!"
"53";"NAO TENHO QUE RECLAMAR SÓ DE AGRADECER POR QUE FUI E ESTOU CENDO BEM ACOLIDA MUITO.OBRIGADO"
"54";"CEMPRE FUI BEM ATENDIDO"
"55";"MUITOS PARABENS PELO ATENDIMENTO"
