"";"."
"1";"MAS OS MEDICOS E OTIMO TUDO BOM"
"2";"TA DE PARABÉNS VOCES TRATAM MUITO BEM QUE DEUS ABENÇOA VOCES TODOS."
"3";"APESAR DE POUCO TEMPO EM TRATAMENTO AQUI QUERO DEIXAR O MEU AGRADECIMENTO E CARINHO. FUI MUITO BEM ATENDIDA E RECEBIDA POR TODOS ATÉ O PRESENTE MOMENTO. CONTINUEM ASSIM, POIS QUEM VEM AQUI, JA ESTA TRISTE E SOFRENDO DE DORES ASSIM COMO EU. E ESSE TRATAMENTO NOS FAZ SENTIR BEM. OBRIGADA A TODOS"
"4";"FUI MUITO BEM ATENDIDO PAR EQUIPE, OBRIGADO"
"5";"AGRADECIMENTO Á EQUIPE MÉDICA E DO SERVIÇO SOCIAL"
"6";"OBRIGADA TODA EQUIPE DO HOSPITAL EM ESPECIAL O SERVIÇO SOCIAL"
"7";"ATENDIMENTO SATISFATÓRIO"
"8";"O ATENDIMENTO FOI MARAVILHOSO. TODAS AS MINHAS DUVIDAS FORAM DUVIDAS FORAM RESPONDIDAS E EM MOMENTO ALGUM ESTIVE DESAMPARADA. EQUIPE DE RESPEITO."
"9";"O ATENDIMENTO FOI BOM"
"10";"PARABENS FICAMOS CONTENTE COM TODOS OS PRESSEDIMENTOS"
"11";"FOI BOM ATENDIDA.ENFERMEROS E MEDICOS MUITO BOM.EDUCADO"
"12";"EXCELENTE ATENDIMENTO DA PSISOLOGA KAMILA, COMO TAMBÉM SER.SOCIAL E NUTRIÇAO."
"13";"NAO DEIXE A QUALIDADE CAIR"
"14";"QUE EU GOSTEI MUITO BEM E QUERO QUE DEUS ABENCOE A TODOS QUE TRABALHA AQUI NO HDT."
"15";"SÓ TENHO PARA FALAR QUE O HDT TEM UM ATENDIMENTO ÓTIMO PARABÉNS A TODOS DO HOSPITAL"
"16";"MEU NOME É MARIA APARECIDA, ESTIVE INTERNADA NESTA UNIDADE POR MAIS DE 30 DIAS.DURANTE ESSE PERÍODO, A TERAPIA OCUPACIONAL FOI DE GRANDE IMPORTÂNCIA PARA MINHA RECUPERAÇAO. ESTIVE, UM PERÍODO ANTERIOR, INTERNADA EM OUTROS HOSPITAIS QUE NAO DISPONIBILIZARAM DESTES PROFISSIONAIS, DENTRE ELES, DA TERAPIA OCUPACIONAL, ME SENTI MAIS SEGURA PARA EXECUTAR AS ATIVIDADES DIÁRIAS, COMO, ESCOVAR OS DENTES, IR AO BANHEIRO, PENTEAR OS CABELOS, TOMAR BANHO EM PÉ, ETC. ME AJUDOU TAMBÉM A SUPERAR MEDOS RELACIONADOS A PROCEDIMENTOS E EXAMES. OBRIGADA HDT POR DISPONIBILIZAR ESSE TIPO DE PROFISSIONAL QUE TANTO NOS AJUDA."
"17";"OTIMA NAO TENHO QUE RECLAMAR"
"18";"OTIMO ATENDIMENTO"
"19";"MUITO BOM"
"20";"ATENDIMENTOS EXELENTES QUANTO DA RECEPÇAO QUANTO DO MEDICO."
"21";"SO TENHO QUE AGRADECER O HDT PRA MIM E O CEU AQUI NA TERRA TO VIVA ABAIXO DE DEUS FOI AQUI O ATENDIMENTO E O MELHO QUE JA VI EM GOIÂNIA PARABÉNS"
"22";"GOSTARIA DE DEIXAR AQUI REGISTRADO A MINHA IMENSA ADMIRAÇAO E GRATIDAO FEITA PELA CHRISTIANE.ATENDE COM MUITO CARINHO E ATENÇAO. É MUITO IMPORTANTE EM MOMENTO DE MUITA DOR, E DE DOENÇA SER TRATADO COMO ELE TRATA AS PESSOAS.TODAS AS OUTROS FUNCIONARIOS TAMBÉM PARABÉNS A TODOS CONTINUEM ASSIM"
"23";"SE TODAS AS UNIDADES DE SAÚDE, FOSSE IGUAL A ESTÁ SERIA OTIMO. TODOS ESTAO DE PARABÉNS, CONTINUA ASSIM"
"24";"OBRIGA POR TUDO SAO TODOS OTIMAS PESSOAS: QUE DEUS OS ABENÇOE"
"25";"PARABENS PELO ATEDIMETO (ELY)"
"26";"D.ELY PARABÉNS PELO ATENDIMENTO"
"27";"MUITO BOM COMO FUI ATENDIDO"
"28";"D.ELY MUITO BOM"
"29";"AGRADEÇO DONA ELY PELO EMPENHO E AJUDAR AS PESSOAS QUE ESTAO COM DIFICULDADE PARABENS DONA ELY PELO SEU TRABALHO E EMPENHO EM AJUDAR AS PESSOAS (PACIENTES"
"30";"QUERO ELOGIA O TRABALHO DA FUNCIONARIA ELY POR AJUDAR NOS PACIENTE QUE ENCONTRA DIFICULDADE! OBRIGADA PELO EXCELENTE TRABALHO"
"31";"FOI TUDO OTIMO"
"32";"NADA A RECLAMAR SOMENTE GRATA POR TUDO. QUE DEUS ABENÇOE A TODOS."
"33";"ELA E UMA PESSOA MARAVILHOSA (LUCIA)"
"34";"FOI UM ATENDIMENTO OTIMO FOI UM ANJO AMEI TODOS OS ATENDIMENTO"
"35";"ATENDIMENTO RÁPIDO E OBJETIVO DA RECEPÇAO E MUITO SIMPÁTICA RAQUEL. OBRIGADA"
"36";"TINHAM QUE AUMENTAR O SALÁRIO DESTA ATENDENTE POR QUE ELA É NOTAL MIL OTIMA!OTIMA!OTIMA!"
"37";"(ELY) MARAVILHOSA"
