"";"."
"1";"ACOMPANHANTE RELATA QUE A ROUPA DE CAMA ESTAVA SUJA. ESTAVA DOBRADA E PASSADA, PORÉM TINHA COCO SECO NA ROUPA DE CAMA"
"2";"ATENDIMENTO NA RECEPÇAO FOI RUIM"
"3";"DEMORA DA MEDICAÇAO DEVIDO INVENTARIO DA FARMACIA"
"4";"DEMORA NO RESULTADO DO EXAME"
"5";"MELHORIA NAS QUESTOES DO BANHEIRO. E A PRESENÇA DE BARATAS NOS QUARTOS. MAIS CONFORTO EM QUESTAO DE CALOR NOS QUARTOS. MELHORIA NA QUESTAO DA CADEIRA PARA OS ACOMPANHANTES."
"6";"RECLAMAÇAO EM QUESTAO DO QUARTO MUITO QUENTE. BANHEIRO MASCULINO E FEMININO JUNTO. E HOMENS E MULHERES MISTURADOS NO MESMO QUARTO (ALA A)"
"7";"MANTER AS UNHAS CURTAS.ELE GOSTA DE FICAR LIMPINHO E CHEIROSO"
"8";"VOCES ARRUMEM AQUI NA RECEPIÇAO O FILTRO DE AGUA QUE NAO SAI MAIS ÁGUA GELADA. É QUE O ESPAÇO FÍSICO ESTA PEQUENO.
E TEM PESSOAS QUE ENTRAM COM CAPACETES E OUTRAS COISAS QUE SAO PROIBIDAS. MAIS GOSTARIA  QUE AS PESSOAS MENORES DE 16 ANOS ENTRASSE PODE SER 12 ANOS PARA CIMA ENTRASSE"
"9";"DISTRIBUIÇAO DOS BANCOS MUITO APERTADOS (ESPAÇO) - RECEPÇAO DO AMBULATÓRIO."
"10";"NAO GOSTO DESSE MICROFONE, TIRA A PRIVACIDADE. TODOS ESCUTAM O ASSUNTO. DEMORA EM FILA PARA PEGAR SENHA. COLOCAR ESPELHO NO BANHEIRO."
"11";"DR. MAIRA - A MÉDICA NAO ESTA ASSINADO O PEDIDO EXAME E SIM A ESTAGIARIA."
"12";"DEPOIS DA CONSULTA JÁ REALIZADA E COM OS EXAMES EM MAOS, MÉDICA PEDIU PARA AGUARDAR EM SUA SALA POIS IRIA ANALISAR O CASO. DEPOIS DE QUASE  1 (HUMA)HORA AGUARDANDO FUI ATÉ A SALA DE ESPERA DOS PLANTONISTAS ONDE ESTAVA A MEDICA DE PLANTAO QUE INFORMOU QUE IRIA INICIAR ANALISE DO CASO. (ESTAVAM TRATANDO ASSUNTOS PESSOAIS NAO RELACIONADOS AO CASO). ESPEREI MAIS UMA HORA PARA RECEBER O DIAGNÓSTICO."
"13";"FALTA PRIVACIDADE DO ATENDIMENTO DA RECEPÇAO  ESTE AUDIO (ALTO FALANTE) É CONSTRANGEDOR. EU NAO QUERO QUE ANUNCIE NO ALTO FALANTE MINHAS PARTICULARIDADES.GRATO! FELIZ ANO NOVO."
"14";"A QUANTIDADE DE BANHEIROS NO AMBULATÓRIO E POUCO. E O ATENDIMENTO DEMOROU UM POUCO, MAS FUI BEM ATENDIDA."
"15";"MINHA MAE COM EPATITE C TER QUE ESPERAR 4 MESES PELA UMA CONSULTA PRA COMECAR OU PEDIR O MEDICAMENTO DELA. MEDICA NAO DEU ATENÇAO E NAO ESPLICOU NADA FICAMOS 1 H ESPERANDO O MEDICO PRA ENTRAR E SAIR NA MESMA HORA SEM ATENDIMENTO ADEQUADO PORQUE NAO ERA PCTE DELA. CHEGO NA RECEPÇAO PRA MARCAR P/DRo SO TEM VAGA P 4 MESES DEPOIS. FICA AQUI MINHA IDGUINAÇAO."
"16";"BANHEIRO: FEDIDO SUJO. PESSIMO DOS MEDICOS BRUTOS."
"17";"AS ESTAGIARIAS BRINCAM  MUITO. NÓS CORRÉTORES DO HOSPITAL E FALAM MUITO AUTO - HORIVEL ISSO"
"18";"ESPAÇO ( DA RECEPÇAO DO AMBULATÓRIO) PODERIA SER MAIOR E MAIS VENTILADO PARA EVITAR TRANSMISSAO DE DOENÇA."
"19";"PODERÍAMOS FAZER EXAMES NECESSÁRIOS AQUI.SERIA ÓTIMO"
