"";"."
"1";"HORA DA CHEGADA 8,30 DA MANHA ESPERANDO ATENDIMENTO"
"2";"NAO TENHO O QUE RECLAMAR DO HDT, MAS QUERIA FAZER UM PEDIDO - ARRUMEM A ANTENA DA TV. SEMPRE, ESTÁ SEM SINAL.OBRIGADO"
"3";"MELHORAR O ATENDIMENTO PARA COM OS PACIENTES.RESPEITO COM O MESMO MELHORAR O ACOLHIMENTO, E OS ASSISTENCIA SOCIAL MAS COMPITENTE E QUE GOSTE DA PROFISÇAO PARA MELHOR ATENDER OS PACIENTES. OU SEJA QUALIFICAÇAO"
"4";"MELHORAR A CARA DOS FUNCIONARIOS DA RECPIÇAO!"
"5";"TEMPO DE ESPERA MUITO GRANDE PARA SER ATENDIDO PELO MÉDICO"
"6";"FALTA + ORTOPEDITA OFITALMO NUTRICIONISTA UMA AMBULANCIA P/ LEVAR E TRAZER OS PASIENTE ALMOÇO P/ OS DE OUTRA CIDADE"
"7";"GOSTARIA QUE MELHORASSE Á FARMACIA NA AGILIDADE DA ENTREGA DOS MEDICAMENTOS. AS VEZES A SALA FICA LOTADA ACHO QUE ESTA NO No ATENDENTES REDUZIDOS"
"8";"A MEDICA DE PLANTAO NAO CONSEGUIL FAZER O PROCEDIMENTO A ALTURA QUE FOI O COLHIMENTO DE MATERIAL PARA  NAO DEU CONTA PRECISOU DE UMA INTERFERENCIA DE OUTRO PROFISSIONAL."
"9";"A MÉDICA PLANTONISTA DO DIA 10/01/18 QUE NOS ATENDEU POR VOLTA DAS 22:30 É ARROGANTE, NAO INFORMA DIREITO, É GROSSA E GRITA. PÉSSIMA! PREPOTENTE! PRECISA SER MAIS HUMILDE."
"10";"LABORATORIO MUITA CONVERSA E POUCO ATENDIMENTO"
"11";"NENHUMA"
"12";"MAIS RAPIDO POIS O ATENDIMENTO E MUITO DEMORADO"
"13";"AS VESES ESPERAMOS MUITO"
"14";"AGILIDADE NO ATENDIMENTO, MUITA ESPERA"
"15";"OS CHEQUINHOS PODERIAM VOLTAR NOS ATENDER AQUI ESTÁ MUITO DIFICIL PEGAR"
"16";"SEM RECLAMAÇOES"
"17";"ESPERO QUE SEJAM MAIS RAPIDOS NA HORA DE CHAMAR. OBS: ESPERO QUE MELHORE..."
"18";"NADA A RECLAMA"
"19";"ATENDENTES CONVERSAM MUITO E DEIXAM ATENDIMENTO A DESEJAR MUITA DEMORA.EU NAO SELECIONEI JA ESTAO DANDO A FICHA MARCADA"
"20";"FALTA PEDIR PARA OS USUARIO, PACIENTES, FAZER SILENCIO PARA SER OUVIDOS AS CHAMAS DOS MEDICOS PARA OS ATENDIMENTOS"
"21";"MUITO DEMORADO"
"22";"MUITAS VEZES O PACIENTE CHEGA COM FOME, E NAO TEMOS A INFORMAÇAO DE QUANTOS PACIENTES EM NA NOSSA FRENTE; PODERIA NOS DAR ESSA INFORMAÇAO P/ SAIRMOS P/ UM LANCHE."
"23";"POR GENTILEZA VOLTA A LIBERAR OS CHEQUINHOS AQUI PQUE TÁ MUITO DIFICIL CONSEGUIR NOS CAIS."
"24";"É TENHAM QUE TRATAR OS PACIENTES COMO SOMOS SERES HUMANOS COM ETICA E EDUCAÇAO"
"25";"NEM UMA OBRIGADO"
