"";"."
"1";"COLOCAR UM ESTACIONAMENTO PARA OS PACIENTES ABRIR VAGA"
"2";"OBS.SEQUER FUI ATENDIDO. FUI PICADO POR UMA ARANHA MARROM NAO DERAM NEM MORAL!"
"3";"E UM DESRESPEITO COM PACIENTE O MÉDICO DRo PEDRO DEIXAR UM IDOSO ESPERAR POR SUA CONSULTA POR 06 (SEIS)HS. SEM ALMOÇO E NEM AVISA. ISSO TEM SER MUDADO."
"4";"MELHORAR O ATENDIMENTO NO SETOR DE VACINA"
"5";"MEDICOS NAO ATENDE NO HORARIO SEMPRE 3 A 4 PARA SER ATENDIDO NAO TEM UMA ORGANIZAÇAO NAO TEM CRITERIO A SER SEGUIDO."
"6";"CONSULTA MARCADA, PARA 07:00 SO CONSULTOU 09:00"
"7";"FUNCIONÁRIOS SEMPRE INDISPOSTOS A GUDAR PESSOAS DE PÉSSIMO HUMOR, EM VISTA QUE ESTAO AQUI PARA ATENDER PESSOAS DOENTES, QUE PRECISAM DE ATENÇAO.DÁ VERGONHA TANTA CARA FEIA"
"8";"AQUI A GENTE ESPERA DAS 7 DA MANHA ATE AS 2 DA TARDE E SE RECLAMAR ELES FALAM QUE É DESACATO UMA VERGONHA!!!!ESSE É O BRASIL!!!UM HOSPITAL TAO GRANDE DESSE E MUITOS IDOSOS ESPERANDO!!!"
"9";"CHEGO SETE DA MANHA E SAIO QUATRO DA TARDE RESUMINDO AQUI A GENTE ESPERA MUITO E SE RECLAMAR ELES FALAM QUE É DESACATO."
"10";"DEVERIAM DAR FOLGA OU FÉRIA PARA AS ENFERMEIRAS ANCIAS PORQUE SEM PACIENCIA E APAVOLADAS E PENÇO QUE DEVERIA TER MAIS PACIENCIA E RESPEITO COM AS PACIENTES FRAGEIS"
"11";"SÓ PRECISA DE CADEIRAS MAIS CONFORTAVEIS PARA OS ACOMPANHANTES"
"12";"MAIS DE 1 VISITANTE SERIA ÓTIMO"
"13";"É MUITO RUIM MAIS FAZE O QUE"
"14";"PROVIDENCIAR MARCAÇAO DE EXAMES POR TELEFONE"
"15";"MELHORAR UM POUCO MAIS NO RECEBIMENTO"
"16";"NAO TER QUE ESPERAR CERTO HORÁRIO PRA PEGAR SENHA EX: MINHA CONSULTA É 13:00 SÓ POSSO PEGAR SENHA 12:00, ISSO ATRASA P/TODOS!"
"17";"TODOS ESTAO DE PARABÉNS PELO ATENDIMENTO SEMPRE MUITO ATENCIOSOS E PRESTATIVOS COM TODOS GOSTARIA QUE TODOS OS LUGARES QUE TRABALHAM NA SAÚDE TIVESSE UMA DEDICAÇAO ASSIM."
"18";"A MEDICA NAO COMPARECEU NAO POSSO AVALIAR, POIS ERA PRIMEIRA  CONSULTA. MINHA RECLAMAÇAO É O NUMERO DO TELEFONE PARA MARCAR CONSULTA QUE NUNCA ATENDE ISSO SEMPRE ACONTECEU.ACHO DEMORADO O ATENDIMENTO"
"19";"DR. ARMANDO NA ÚLTIMA CONSULTA HÁ ALGUNS MESES NAO PASSOU A QUANTIDADE NECESSARIA DO REMEDIO ANTO-CONVULSIVANTE (FENITOINA) PROPORCIONAL AO RETORNO DO MESMO RESULTANDO NA FALTA DE RÉMEDIO A MAIS DE UM MES ONDE NAO TENHO COMO VIR AO ENCAIXE POIS MORO LONGE E TRABALHO O DIA INTEIRO. GRATO!"
"20";"PODERIA MARCAR CONSULTAS FORA DO HORARIO COMERCIAL FACILITA P/QUEM TRABALHA"
