"";"."
"1";"OS ENFERMEIROS DEMORAM MUITO QUADO CHAMA PRA TROCAR O SORO PRA DAR ALGUM REMEDIO, O MÉDICO JÁ PRESCREVEU E ELES DEMORAM VIM DAR A MEDICAÇAO. AS ENFERMEIRAS ALGUMAS NAO TODAS DEVERIAM ATENDER MELHOR COM MAIS ALEGRIA ALGUMAS SAO SEM EDUCAÇAO, SÓ ISSO."
"2";"ACHEI MUITA FALTA DE PROFISSIONALISMO POR PARTE DA ASST.SOCIAL. POR EU ESTAR USANDO MASCARA NAO QUIS SABER DO MEU PROBLEMA, DIZENDO QUE EU NAO DEVERIA FICAR ANDANDO NO HOSPITAL. OBS: NAO TEVE RESTRIÇAO PELO MÉDICO. EU ESTAVA ANDANDO HÁ PEDIDO DO MÉDICO. E POR ELA NAO FAZER AS VIZITAS NO LEITO, FOI QUE EU PROCUREI-A NA SALA. ESPERO PROVIDENCIAS P/ QUE ISSO NAO VENHA A SE REPETIR C/OUTROS PACIENTES. OBRIGADO! DEIXO AQUI MINHA INDIGNAÇAO POR ESTA FUNCIONÁRIA."
"3";"PRECISA-SE DE MELHORIAS NAS INFORMAÇOES FORNECIDAS AOS PACIENTES, POIS ELAS SAO DE MUITA IMPORTÂNCIA PARA O DESENVOLVIMENTO DAS AÇOES DOS PACIENTES, BEM COMO, PROCEDIMENTOS DE DE EXAMES E DEMAIS ATIVIDADES DO TIPO. POIS A DEMORA AQUI EH GRANDE POR ISSO ACABA ATRASANDO OS DEMAIS PACIENTES."
"4";"ATENDIMENTO DEMORADO PARA TRIAGEM"
"5";"SE VOCE VEM P/EMERGENCIA E DEMORA + DE 01 HORA P/ SER ATENDIDO SEM TER NINGUÉM NA SUA FRENTE PELA ORDEM DE CHEGADA. O QUE ESTÁ ACONTECENDO? CHATEADA!TRISTE!INDIGNADA!"
"6";"FRENTE DA EMERGENCIA ESCURA POUCA LUZ ENTRADA DIFICIL ACESSO"
"7";"O TEMPO DE REALIZAÇAO DE EXAME DE PROFILAXIA PÓS EXPOSIÇAO FOI DEMORADO. A ESPERA DUROU MAIS DE TRES HORAS, O QUE DESESTIMULA O PACIENTE. TESTES RÁPIDOS, EM REGRA, POR INFORMAÇOES DA INTERNET DURAM POR VOLTA DE 30 MINUTOS"
"8";"O ATENDIMENTO É UMA IMUNDICIA MINHA REPOSTA E MINHA NOTA É 0"
"9";"A MEDICA ANA CAROLINA NAO DEU ASSISTENCIA DE QUADRO A RAFAEL LUCAS ISSO FEZ ELE EVOLUI PARA UMA IMPORTANTE PIORA E INDO PARA UTI E SER ENTUBADO;LAMENTAVEL O FATO UM RN DE 40 DIAS PASSAR POR ISSO."
