"";"."
"1";"A MINHA OPINIAO E QUE CONTINUE DEBAIXO DA GRAÇA DE DEUS POIS VOCES TEM SIDO A MAO DE DEUS PARA NOS. FUI PACIENTE AQUI. SÔBE OS CUIDADOS DO DOUTOR GUSTAVO E DR. ALECHANDRE."
"2";"PARA MIM FOI OTIMO PORQUE EU TIVE O TRATAMENTO TODO PELO SUS GRATIS"
"3";"QUERO ELOGIAR O MEDICO DR PEDRO MARIO PELO SEU PROFISSIONALISMO E DEDICAÇAO. ELE E UMA PESSOA PRESTATIVA E EDUCADO!! NAO TENHO NADA PARA RECLAMAR DE SUA PESSOA."
"4";"SOU PACIENTE DESSE HOSPITAL. ESSE HOSPITAL E REFERENCIA UM OTIMO HOSPITAL ELE E UNS DOS MELHORES HOSPITAL DE GOIÂNIA"
"5";"DRA. LUCIANA BARRETO EXELENTE MEDICA"
"6";"AGRADEÇO AO CORPO DE COLABORADORES DO HDT, PELO CARINHO E PROFISSIONALISMO, QUE ME TRATARAM. A COMPETENCIA E O COMPROMISSO DE TODOS, ME FEZ VER QUE O SER HUMANO É BOM, AINDA VALE A PENA."
"7";"TUDO PERFEITO POVO NAO DEVE RECLAMAR"
"8";"LIMPEZA: UMA ÓTIMA PROFICIONAL: SOCORRO"
"9";"ATENDIMENTO EXEMPLAR (UTI PED)"
"10";"SICERAMENTO UM OTIMO HOSPITAL, FICO FELIZ EM SABER QUE MEU DINHEIRO ESTÁ SENDO BEM USADO PARA ATENDER OS PACIENTES PARABÉNS!"
"11";"TODO O ATENDIMENTO É IMPECAVEL. TODOS MUITO ATENTOS"
"12";"MELHORAR O ENXOVAL"
"13";"QUERO ELOGIAR JANETE, GISLENE, DILVA, GRAÇA DO ""LEITO DIA"" QUE AGIRAM COM HUMANIDADE E PROFISSIONALISMO. QUERO AGRADECER A DRA. CAROLINA DE OLIVEIRA ABRAO E DRA. ANA FLÁVIA FERREIRA PELO HUMANISMO E PROFISSIONALISMO. AGRADEÇO A TODOS"
"14";"ACOMPANHANTE RELATA QUE GOSTOU DO LOUVO QUE TEVE NO DOMINGO."
"15";"A VARIEDADE DOS ALIMENTOS SAO BONS"
"16";"ELY GENTE MUITO OTIMA"
"17";"BOM O ATENDIMENTO DA D.ELI FOI OTIMO NO RECEPIÇAO DO HDT"
"18";"A DOUOTORA MAYRA ESTA DE PARABENS COM SEU PROFISSIONALISMO, ÉTICA E HUMANIDADE. OBS. ANA PAULA TAMBÉM"
"19";"ESTAVA HÁ MAIS DE 2 HORAS E 30 MIN PARA SER ATENDIDO COM A DRA. GISELLE NO DIA 19/10/2018"
