"";"."
"1";"HÁ UMA SEMANA ATRÁS PASSEI PELO HDT, ESTAVA COM ENTE QUERIDO INTERNADO. FOMOS BEM ATENDIDO SIM! MAS QUERO FAZER UMA ***RESALVA A RESPEITO DA MOÇA DA RECEPÇAO (LILIANE), ONDE FUI BEM RECEPCIONADA POR ELA, E DURANTE ESSES DIAS QUE PASSEI POR AI PERCEBI QUE NAO SÓ EU COMO OUTRAS PESSOAS FORAM BEM ATENDIDAS PELA SUA EDUCAÇAO, SIMPATIA E DISPOSIÇAO DE EXPLICAR TODO O FUNCIONAMENTO DO HOSPITAL. SABEMOS QUE A SAÚDE EM TODO BRASIL NAO ANDA UNA DAS MELHORES, MAS O ATENDIMENTO DESTA MOÇA (LILIANE) FAZ TODA DIFERENLA. SR. DIRETOR VOCES DE PARABENS COM ESSA COLABORADORA. OBS.: A DRA.TAUANNA É UMA AMOR PESSOA E MUITO CARINHOA (CUIDOU DO CARLOS HENRIQUE SOUZA CRUZ). OBGDA, MENINA.
ASS. CLAUDEANE SOUZA CRUZ"
"2";""" ATENDIMENTO DAS ENFERMEIRAS, MEDICOS, FUNCIONARIOS LIMPEZA OTIMA QUALIDADE, TODA EQUIPE MUITO QUALIFICADA"""
"3";"""ENFERMEIRA DO DIA SAO BOAS"""
"4";"""ROUPA DE CAMA É BEM LIMPA"""
"5";"""MUITO BEM ATENDIDO, TODAS AS SOLUÇOES RESPONDIDAS"" ""MELHOR HOSPITAL, LUGAR QUE MELHOR FOI ATENDIDO"""
"6";"""GOSTARIA QUE TIVESSE UMA TELEVISAO NO QUARTO, PARA ACOMPANHANTE""."
"7";"ESSA EQUIPE DA LIMPEZA QUE TRABALHARAM HOJE AQUI NA ALA B DIA 27 DE ABRIL ESSAS SAO OTIMAS AS DUAS NOTAS 10 A DIONISIA E A ALDA OUTRO PROFICIONAL OTIMO VANDO LUZ"
"8";"O HOSPITAL HDT TUDO DE BOM NO ATENDIMENTO PESSOA MUITOS ATENCIOSAS NADA A RECLAMAR"
"9";"AGRADECER A TODOS PELA FORMA EM QUE FUI RECEBIDO, CUIDADO PELOS FUNCIONÁRIOS DO HDT. ""MEU MUITO OBRIGADO"""
"10";"DO JEITO QUE TÁ, TÁ ÓTIMO. CONTINUEM ASSIM!"
"11";"MAS DURANTE O DIA AS MÉDICAS PEDIATRAS SAO BOAS. PSICOLOGIA FOI ÓTIMA SEMPRE QUE PRECISEI VOCE VEIO E ORIENTOU."
"12";"O QUE EU GOSTO É DA PSICOLOGIA E SERVIÇO SOCIAL QUE SEMPRE ESTAO DISPOSTOS A CONVERSAR E EXPLICAR AS COISAS, DEIXANDO EU E MEU FILHO MAIS TRANQUILOS"
"13";"ÓTIMOS PROFISSIONAIS PRESTATIVOS E CARINHOSOS COM OS PACIENTES E ACOMPANHANTES."
"14";"ESTA TUDO BEM"
"15";"A MINHA SUGESTAO E QUE OS MEDICO SAO CAPACIDADE SAO OTIMO AS ENFEMEIRA SAO LEGAIS TODOS ELE DE SER TRATADO COM UM BOM MEDICO E AS ENFERMEIRA MERECEDORA"
"16";"OS FUNCIONARIOS DA UTI PEDIATRICA SAO ÓTIMOS. ATENCIOSOS E MUITO PRESTATIVOS. ÓTIMOS PROFISSIONAIS"
"17";"SÓ TENHO AGRADECER A QUALIDADE DO ATENDIMENTO RESPEITO NA QUAL FUI SUBMETIDA. OBRIGADA DESDE O ATENDIMENTO A EQUIPE DE LIMPEZA."
"18";"BOM DIA!VCS,ESTAO DE PARABÉNS EXCELENTE O ATENDIMENTO"
"19";"ELOGIO: A DRA TEM UMA PREOCUPAÇAO ENORME COM A SAÚDE DO PACIENTE A EDUCAÇAO DELA É EXCELENTE E O ATENDIMENTO É EXCELENTE."
"20";"MUITO BOM"
"21";"AGRADECIDO PELO ATEDIMENTO"
"22";"TEVE UM BOM ATENDIMENTO"
"23";"OTIMO O ATENDIMENTOS DE TODOS"
"24";"MUITOS ATENCIOSOS"
"25";"PARABES GOSTEI MUITO"
"26";"O ATENDIMENTO MÉDICO E BOM, E O ATENDIMENTO DA RECEPÇAO TAMBÉM E BOM."
"27";"NADA RECLAMAR PARABEN PARA TODOS EQUIPE."
"28";"MUITO BOM E OTIMO"
"29";"SEMPRE O ATENDIMENTO É O MESMO COM MUITA EXCELENCIA, DR. CRISTIANE COMO SEMPRE UM AMOR COM OS PACIENTES. DR. CASSIA UM AMOR TBM."
