"";"."
"1";"RECLAMACAO SOBRE ALIMENTACAO TEM VARIEDADES MAIS NAO  QUALIDADE, O FRANGO VEM CRU AS VEZES"
"2";"""FRANGO QUEIMADO POR FORA E CRÚ POR DENTRO"" "" ENFERMEIRA DA NOITE SAO RUIM, QUANDO CHAMA DEMORA MEIA HORA PARA VIM"""
"3";"QUERO RELATA OCORRIDO DE FALTA DE ATENÇAO POR PARTE DE ENFERMAGEM QUE NAO ESTA DANDO ATENÇAO NO DIA 08/04 PERIODO NOTURNO. PEDI POR VARIAS VEZES PARA TROCAR O SOSO E VERIFICAR OS BATIMENTO DO PACIENTE E NAO VIERAM ATENDER, DEIXANDO O SERVIÇO PARA A ENFERMEIRA DO DIA."
"4";"""LIMPEZA DO BANHEIRO É RUIM"" (ALA B)"
"5";"""VERIFICAR AS TELAS POR QUE ESTA TENDO MURIÇOCAS"" ""MUSQUITO"""
"6";"QUARTOS E BANHEIROS PRECISA MELHORAR NA LIMPEZA. BANHEIRO SUJO MUITO. CAMA ENFERRUJADA"
"7";"PODERIA AUMENTAR UM POUCO OS BANCOS DE SENTAR A RESPEITO DOS ACOMPANHANTES DEVIDO DIAS COM MUITO FLUXO GENTE NAO HÁ ASCENTE SUFICIENTE PARA OS ACOMPANHANTES AGUARDAR O TERMINO DA MEDICAÇAO."
"8";"A) PRECISA DE UMA REFORMA URGENTE E GERAL NAS DEPENDENCIAS DO HDT. B) TROCAR VIDROS QUEBRADOS, FECHADURAS, DOBRADIÇAS, VERIFICAR A PINTURA, AS INSTA-SANITÁRIOS, ELÉTRICAS, ETC. C) PARTE EXTERNA: LIMPAR, RETIRAR OS CUPINS, REFORMAR AS CERCAS DE ARAME EM VOLTA DA ÁREA, FAZER A MANUTENÇAO EM GERAL."
"9";"PEÇO O LEITE E NAO TRAZEM PARA MEU FILHO A NOITE A GENTE CHAMA O MÉDICO PEDIATRA E ELES NAO VEM."
"10";"MÉDICOS PEDIATRAS DO FINAL DE SEMANA NOTURNO SAO EM QUANTIDADE INSUFICIENTE POIS QUANDO CHAMAM NAO VEM. NUTRIÇAO: TRAZEM A COMIDA EM POUCA QUANTIDADE E EM VASILHA INFANTIL PARA MEU FILHO ADOLESCENTE"
"11";"ALGUMAS VEZES O ATENDIMENTO NA RECEPÇAO DEIXA A DESEJAR. ESSA NOITE CHAMEI O MÉDICO DE PLANTAO, POIS MEU FILHO ESTAVA COM DOR, MAS NAO VEIO. ENFERMAGEM DA NOITE DEMORA PARA VIR E NO MOMENTO DE PUNÇAO OU MEDICAMENTOS SUBESTIMAM A DOR DO PACIENTE."
