"";"."
"1";"QUERIA ELOGIAR A OUVIDORA VERA POR TER ME AJUDADO A RESOLVER MEU PROBLEMA , POIS HAVIA ESQUECIDO MEU PEDIDO DE EXAME NA MINHA CIDADE E DRA ESTHER EMITIU OUTRO PEDIDO E A OUVIDORA CONSEGIUI A REIMPRESSAO DO CHEQUINHO"
"2";"SEMPRE FUI MUITO BEM ATENDIDA NESTA UNIDADE QUE CONTINUEM SEMPRE NOS ATENDENDO COM HUMANISMO"
"3";"ESTOU BEN SATISFEITA COM OS FUNCIONARIOS TODOS MUITOS CUIDADOSOS COM MEU FILHO DEIXANDO ELE MAIS TRANQUILO E ISS P/ MIM E IMPORTANTISSIMO, QUE O DEIXA MAIS CONFORTAVEL NESSE MOMENTO DOLOROSO E PRA MAE NAO TEM NADA DE MELHOR. DRA GRACIELE ) SE NAO ,E EMGANO) FOI EXCEPCIONAL MP ATENDIMENTO. QUERO AGRADECER A TODOS"
"4";"SO TENHO AGRADECE OS MEDICOS POR CUIDAO BEM DO MEU RMAO OBRIGADOS AS ENFERMEIRA POR TER PANCIENCIA CARINHO PELO WANDERSON SILVA FREIRE HOJE 11-02 FUI MUITO BEM RECEBIDA PRO TODOS DO HDT. EU LUANA FREIRE DA SILVA"
"5";"CONTINUE C/CARINHO E AMOR AO PROXIMO DEUS OS ABENÇOE"
"6";"PARABÉNS TODA EQUIPE!!! EXCELENTES PROFISSIONAIS!!"
"7";"FUI MUITO BEM ATENDIDA.. SÓ TENHO A AGRADEÇER"
"8";"CLEITON MUITO PRESTATIVO PARABENS"
"9";"MUITO PRESTATIVO O CLEITON"
"10";"ACHO ESSE HOSPITAL NOTA 10"
"11";"NAO TENHO DO QUE RECLAMAR. O ATENDENTE CLEITON XAVIER É UM ANOR"
"12";"MUITO BOM ATENDIMENTO EU GOSTEI MUITO"
"13";"(CLEITON) CONTINUE SEMPRE ASSIM DEUS TE ABENÇOE"
"14";"TUDO DE BOM"
"15";"APESAR DO SISTEMA PUBLICO DE SAUDE SER AINDA BEM DEBILITADO, NAO TENHO RECLAMAÇOES SOBRE ESSE HOSPITAL E AGRADEÇO POR TER SIDO SEMPRE BEM ATENDIDA."
"16";"ELY MUITO CARISMATICA, EFICIENTE E EDUCADA"
"17";"ELY MUITO EDUCADA E ATENCIOSA"
"18";"MUITO BOM COM MUITA ATENCAO FEZ TUDO PRA NOS AJUDAR OTIMO (ELY)"
"19";"EXCELENTE VOU VOLTA PARA CATALAO SATISFEITA"
"20";"CIDADAO RELATA SEU ELOGIO PARA FUNCIONARIA ELY GOMES PELO EXCELENTE TRABALHO"
"21";"FUI ATENDIDA POR UMA OTIMA FUCIONARIA ESTA DE PARABENS CONTINUA SEMPRE ASSIM VOCE E EXEMPLO DE EFICIENCIA PARA TODOS QUE PRECISA (ELY)"
"22";"ELY É UMA EXCELENTE ATENDENDE SUPER EDUCADA - AMAVEL - ATENCIOSA"
"23";"(ELY) GOSTO MUITO DELA"
"24";"(FABRICIO) OTIMO QUE JESUS INLUMINE OBRIGADA PELO CARINHO"
"25";"O ATENDIMENTO FOI RAPIDO E EFICIENTES. VOCES ESTAO DE PARABENS"
"26";"PARABENS A TODOS OS FUNCIONARIOS E PROFISSIONAIS DA SAÚDE DO HDT. CONTINUEM SEMPRE ASSIM MUITO OBRIGADO!!"
"27";"EDUCACAO E PRESTEZA MUITO OBRIGADO PELO ATENDIMENTO"
"28";"TÁ DE PARABENS EPLO ATENDIMENTO TEM UM ECELENTE DIA"
"29";"SOU TRATADO MUITO BEM, E COM MUITO RESPEITO"
"30";"BOM BEM AGIL E ATENCIOSOS DA SRA DA SENHA ATÉ AMBULATORIO. DEUS LHES ABENCOE SEMPRE."
"31";"TA BOM CONTINUE ASSIM"
"32";"AMO MINHA MEDICA DOUTORA BEATRIZ DEUS ABENCOA A TODOS VOCES"
"33";"SEMPRE FUI BEM ATENDIDA AQUI"
"34";"MUITO BOM O ATENDIMENTO, MUITO ATENCIOSO E SIMPATICO"
"35";"NENHUMA RECLAMCAO ATE AGORA SEMPRE MIM ATENDIMENTO BEM"
"36";"PARABENS MUITO GENTIL"
"37";"ELOGIO A ATENDENTE LUIZA ANGELICA PELO CARISMA E ATENCAO ESPECIAL A TODOS PACIENTES PARABENS NOA 10 VOCE LEGAL E HUMANA"
"38";"(LETICIA MOREIRA) POR MAIS PROFISSIONAIS COMO ELA!"
"39";"(LUIZA ANGELICA)MUITO EXCELENTE ESSA ATENDENTE SOU MUITO BEM TRATADO"
"40";"(RAQUEL SALES FERREIRA) MUITO EFICIENTE, TRABALHA DE FORMA EDUCADA E TEM PACIENCIA COM TODOS OS PACIENTES"
"41";"EU NAO TENHO NADA RECLAMAR SO TENHO QUE AGRADECER PORTADO EU SOU PACIENTE A MUITO TEMPO TODAS AS VEZES QUE EU VENHO SOU MUITO BEM ATENDIDA OBRIGADO POR TUDO"
