"";"."
"1";"APENAS TENHO QUE RECLAMAR DA TV QUE FICOU NUM CANAL DE MUSICA E VIDEO INDECENTES DE MUSICAS QUE INCENTIVAO A PROSTITUIÇAO, FUNK E DROGAS. SOLICITEI QUE MUDACE DISSE QUE NAO PODERIAO (AMBULATORIO."
"2";"VENHO A VOSSA SENHORIA SOLICITAR A ALTERACAO NA ENTRADA DO HOSPITAL POR NAO HAVER ACESSIBILIDADE COM BURACOS E PEDRAS SOLTAS NA ENTRADA ,TERIA QUE SER PLANO PARA ADENTRAR CADEIRA DE RODAS"
"3";"SISTEMA DE SENHA MUDOU FICOU PIOR. MUDA ESSA M... PARA A FORMA QUE ERA."
"4";"FUNCIONARIA RAQUEL FERREIRA PRECISA DE TREINAMENTO PARA TRBALHAR NESTA UNIDADE HDT. FALTA DE EDUCACAO MAL EDUCADA NAO TEM PERFIL PARA LIDAR COM PACIENTE HUMILDIMENTE PARA UMA SIMPLES INFORMAÇAO"
"5";"BANHEIRO: SEMPRE ESTAO SUJOS, EU CHEGUEI 8:10 JÁ SAI 10:20 E ATE AGORA NAO FOI LIMPO. TODOS OS MEDICOS SAO BOM MAIS UM POREM TEM MEDICO QUE NAO OLHAVA NA NOSSA CARA PARA A RECEITA . DEVERIA TRR UMA QUANTIDADE DE VAGA PARA ENCAIXA"
"6";"A ENFERMEIRA DO PERIODO NOTURNO DEIXOU A DESEJAR QUANDO CHAMA DEMORA MUITO ATENDER"
"7";"ENFERMEIRAS ALA C NAO ATENDEM O PACIENTE NA HORA QUE CHAMA AS VEZES VEM OUTRAS SÓ 3 A 4 HORAS DEPOIS E OLHA LÁ"
"8";"AS ENFERMEIRAS NAO ESTAO FAZENDO SEUS DEVERES DIREITO DEIXANDO A GENTE COM NAO VEM NO QUARTO PRA NADA NAO DAO ROUPA NAO TROCA OS LENÇOIS DAS CAMAS"
"9";"BOM O QUE TENHO PRA FALAR QUE TEM UMAS ENFERMEIRAS MUITOS FOLGADAS PQ QUANDO PEDIMOS ALGO DEMORAM UM SECULO PARA AER TENDIDO É MUITO DEMORADO EU MESMO PASSEI MAL NO QUARTO 43 NO DIA 12-02-19 E NINGUEM ESTA NEM AI PRA NÓS QUE ESTAMOS SEM ACOMPANHANTE E OUTRA A MINHA PRESSAO TAVA ALTA"
"10";"ACOMODACAO PARA OS ACOMPANHANTES, PORQUE FICARAM DIAS SEM CONFORTO"
"11";"BOM DIA. PRECISA MELHORAR P HORARIO DE VIZITA"
"12";"NAO GOSTEI DE CONFIRMAR SÓ MEIA HORA ANTES (CONSULTA), QUANDO TEM 2 MEDICOS AS VEZES ESPERA MUITO"
"13";"RETIRAR O NOME DA ESPECIALIDADE DO PAINEL, ACHO MUITO DESCONFORTAVEL OUTRAS PESSOAS SABEREM AONDE ESTOU CONSULTANDO NO CASO DA ESPECIALIDADE."
"14";"ACHO QUE DEVERIA VOLTAR A SER COMO ANTES, A CONSULTA ERA AS 13:00 E A GENTE CHEGAVA E JÁ CONFIRMAVA CEDO. AGORA TEMOS QUE ESPERAR 1 HORA ANTES PRA CONFIRMAR, ISSO E RUIM"
"15";"PODERIA SER MAIS RAPIDO (INESPECIFICO)"
"16";"APENAS ACHO QUE DEMORA UM POUCO PARA ATENDIMENTO MEDICO, JÁ ACONTECEU DE MINHA CONSULTA SER AS 15:  E EU SER ATENDIDA AS 17:00 HS"
"17";"OS HORARIOS PODERIAM SER  A PARTE DA TARDE, PARA QUEM MORA EM TRINDADE. OS DEMAIS ATENDIMENTO SAO ESPETACULAR"
"18";"O MONITOR DE CHAMADA EM UM LOCAL QUE TODOS OS PACIENTES POSSAM VISUALIZAREM  MELHOREM"
"19";"TEMPO DE ESPERO ABSURDO CERTAMENTE É O PONTO FRACO DO AMBULATORIO. AINDA ASSIM HÁ UM ESFORÇO POR UM ATENDIMENTO DIGNO. GRATO."
"20";"O ATENDIMENTO É MUITO DEMORADO E OS ATENDENTES SAO ESTUPIDOS E ARROGANTES ELES DEVERIAM PASSAR POR UMA RECICLAGEM"
"21";"A ATENDENTE DEVE FALAR BOM DIA OU BOA TARDE"
"22";"A DEMORA DA CHAMADA DOS MEDICOS"
"23";"BANHEIRO FEMININO PODERIA TER ESPELHO"
"24";"SÓ NAO GOSTO DE QUE FIQUEM ME TROCANDO DE MEDICO TODA VEZ QUE VENHO CONSULTAR (PCTE: ROSILENE SOUSA LEAO)"
"25";"SÓ ACHO QUE DEVEMOS CONFIRMAR AS NOSSAS CONSULTAS QUALQUER HORARIO, NADA DE SER 1 HORA ANTES DA CONSULTA. PORQUE POR MAIS QUE CHEGAMOS MAIS CEDO ACABA QUE TENDO MUITOS PACIENTES NA FRENTE DA GENTE. VOLTA COMO ERA ANTES É MELHOR. ESSA ATENDENTE QUE DA A SENHA ELY ELA É MUITO MAL EDUCADA, E FAZ UMA PIRRAÇA NA HORA DE ENTREGAR A SENHA DE ENCAIXE DAS 8:00 HS. TIRA ELA DA SENHA COLOCA ELA EM OUTRO POSTO POR FAVOR. ELA SIM CONSEGUE SER CHATINHA"
"26";"QUE O NUMERO DE VISITAS AUMENTE PRINCIPALMENTE PARA OS PACIENTES QUE MORAM EM OUTRA CIDADE"
"27";"ATENDER MAIS RAPIDO POR FAVOR (INESPECIFICO)"
