"";"."
"1";"SEMPRE QUI PRECISAMO DE AJUDA A DIREÇAO ESTA SEMPRE PRONTA PRA NOS AJUDA. A RAIANE NAO TEM MEDIDO ESFORÇOS PRA NOS ALCILIAR NO QUE ELA CONSEGUI RESOLVER PARABENS PELA EQUIPE DE ATENDIMENTO DO GUICHE"
"2";"GOSTEI DO ATENDIMENTO DA NUTRIÇAO E PESSOAL DA COPA. GOSTARIA DE ELOGIAR A CORINA E ""GE"" ( DA LIMPEZA) SAO EDUCADAS SIMPATICAS E TRABALHAM MUITO BEM."
"3";"ELOGIAR O SERVIÇO SOCIAL, ENFERMEIRA E TÉCNICOS DE ENFERMAGEM E PESSOAL DA LIMPEZA. TODAS SAO MUITO LEGAIS"
"4";"QUERO ELOGIAR OS MEDICOS E ENFERMEIRA"" "" QUERO ELOGIAR AS MENINAS DA LIMPEZA"""
"5";"""EQUIPE MUITO PRESTATIVA"""
"6";"GOSTARIA DE AGRADECER O CUIDADO E ATENÇAO DISPENSADOS A MIM NO PERÍODO EM QUE ESTIVE HOSPEDADO NO HDT. TODA A EQUIPE FOI MARAVILHOSA NO TRATO EM TODOS OS ASPECTOS DESDE A RECEPÇAO, OS ENFERMEIROS, OS MÉDICOS, A EQUIPE DA LIMPEZA, A PSICOLOGIA, A ASSISTENCIA SOCIAL, ENFIM. DEIXO UM GRANDE ABRAÇO A TODA EQUIPE MÉDICO QUE DEMONSTROU TANTA DEDICAÇAO EM ESPECIAL AO DRo MATHEUS. TAMBÉM AO PSICOLOGO CÁSSIO, A ENFERMEIRA VALDETE, A NUTRICIONISTA SUZANA, A CHEFE DA ENFERMAGEM E A TODOS OS DEMAIS QUE VAO ME PERDOAR POR EU NAO LEMBRAR OS NOMES. CONTINUEM EXPRESSANDO ESSE AMOR POR SUAS PROFISSOES E PRINCIPALMENTE PELAS PESSOAS. OBRIGADO"
"7";"EU ACOMPANHANTE E A PACIENTE QUEREMOS A AGRADECER TODAS AS EQUIPES ESPECIAL PLANTAO B DIURNO E PLANTAO A NOTURNO, NOS FOMOS BEM ATENDIDA...OBRIGADO A TODOS... ASS. VAMELI MARINHO"
"8";"EQUIPE HDT PARABÉNS OBRIGADA POR TUDO PROFISSIONAIS QUALIFICADOS DEUS ABENÇOE TODOS"
"9";"QUE TODOS PACIENTE TENHA A SORTE DE SER TRATADO  AQUI NO HDT"
"10";"OTIMO O ATENDIMENTO DE ELI"
"11";"ÓTIMO"
"12";"NEM EDUCADO E PRESTATIVO"
"13";"SÓ TENHO AGRADECER PELO BOM ATENDIMENTO, TODOS MUITOS ATENCIOSOS! QUERO PARABENIZAR TODOS DO HOSPITAL TENHA UM BOM DIA!"
"14";"O ATENDIMENTO AQUI É SIMPLESMENTE ÓTIMO"
"15";"(CLEITON) MUITO ATENCIOSO"
"16";"OTIMO ATENDENTE P CLAYTON. PRESTATIVO E ATENCIOSO."
"17";"ECELENTE ATENDIMENTO. PARABENS"
"18";"SATISFEITO PELO O ATENDIMENTO ATENDENTE SUPER EDUCADO (CLEITON)"
"19";"FUI BEM ATENDIDA SIM"
"20";"GOSTEI MUITO DA RECEPSIONISTA ELES SAO MUITO GENTIS"
"21";"SÓ TENHO AGRADECER"
"22";"EU FUI MUITO BEM ATENDIDA PELA ELY RESOLVEU TUDO PRA MIM. SÓ TENHO QUE AGRADECER. MUITO OBRIGADO."
"23";"FUI BEM ATENDIDO PELA A DONA ELY. SO TENHO AGRADECER PELO BOM ATENDIMENTO"
"24";"OTIMO ATENDIMENTO"
"25";"OTIMO"
"26";"FUNCIONARIO MUITO ATENCIOSO, PARABEM."
"27";"ATENDIMENTO OTIMO"
"28";"OTIMO ATENDIMENTO ( FABRICIO)"
"29";"EU ACHO TODOS VOCES ATENCIOSOS:OBG"
"30";"SEMPRE BEM ATENDIDO POR TODOS"
"31";"PARABENS TODOS OS ATENDENTES SAO MEGA EDUCADO"
"32";"TUDO OK! OBRIGADO!!!"
"33";"PARABENS A LUIZA, O MUNDO ESTÁ PRECISANDO DE PESSOAS ASSIM, EDUCADA, PRESTATIVA E QUE VALORIZA O SER HUMANO. DEUS A ABENÇOE EM TODA A SUA VIDA."
"34";"TUDO OTIMO"
"35";"O OSPITAL E MARAVILHOSO OS MEDICOS SAO BELOS. AS ATENDENTE SAO MUITO BOAS TODAS TRABALHA MARAVILHOSOS"
"36";"TOP DE MAIS"
"37";"O ATENDIMENTO DOS ATENDENTES DOS GUICHES SAO OTIMO SAO MUITO EDUCADAS FALA BEM AGENTE ENTENDI O QUE FALA."
