"";"."
"1";"NA VACINAÇAO (POR DEMORA) PROFISSIONAL NAO ESTAVA NA SALA DE VACINAÇAO"
"2";"OLHA ESSA ENFERMEIRA ALESSANDRA DA VACINAÇAO NAO ESTA BOA PARA TRABALHAR MELHOR DISPENSA PORQUE NAO SABE ATENDER E POR PIRRAÇA, ESTA ME DEIXANDO NA ESPERA E PASSANDO OUTROS NA FRENTE. SOMOS SER HUMANOS IGUAL ELA E MERECEMOS RESPEITO ESSA MAL EDUCADA, SEM EDUCAÇAO, MAL HUMORADA, NAO SERVE PARA ATENDER EM HOSPITAL."
"3";"A ENFERMEIRA ALESSANDRA DA VACINAÇAO, MUITO MAL EDUCADA, PÉSSIMA EM ATENDER OS PACIENTE, ELA GRITOU AQUI NA RECEPÇAO, SE ELA ESTA COM ALGUM PROBLEMA OS PACIENTESNAO TEM CULPA. ELA TEM QUE FAZER UMA RECICLAGEM EM ATENDIMENTO.MAL EDUCADA, SEM EDUCAÇAO."
"4";"ALESSANDRA FOI MUITO GROSSEIRA FICOU GRITANDO COMIGO"
"5";"GOSTARIA DE TER PRIORIDADE NOS HORARIOS NOS QUE SOMOS DO INTERIOR SÓ TEM ATENDIMENTO 16 HORAS DE PREFERENCIA PRA NÓS PODER CONSULTAR MAIS CEDO PORQUE VIEMOS DE VAN É MUITO DAS VEZES CHEGAMOS TARDE EM CASA POR CAUSA DO HORÁRIO DA CONSULTA"
"6";"A ENF. ALESSANDRA DA VACINAÇAO MUITO SEM EDUCAÇAO, GRITOU AQUI NA RECEPÇAO, NAO SABE CONVERSAR COM AS PESSOAS. PRECISA DE AULAS PARA APENDER COMO TRATAR UM SER HUMANO. (OBS) E NA RECEPÇAO AS PESSOAS INVÉS DE ATENDER, FICA E BATENDO PAPO, PESSIMO"
"7";"A ENFERMEIRA ALESSANDRA DA VACINAÇAO MUITO MAL EDUCADA ELA GRITOU COMIGO NA RECEPÇAO, NAO SABE CONVERSAR. PESSIMO PARA ATENDER. PRECISA DE UMAS AULAS PARA APRENDER ATENDER AS PESSOAS"
"8";"CADEIRAS DE ACOMPANHANTES SEM APOIO DE BRAÇO COM DEFEITO NO ENCOSTO E ESTOFADO RASGADO E PODEM CAUSAR ACIDENTES. NAO TEM ESCADA PARA CRIANÇA SUBIREM NAS CAMAS E O HOSPITAL É MUITO BARULHENTO E INADEQUADO ESSE CORREDOR AO LADO DA ENFERMARIA 15 ONDE PASSAM OS CARRINHOS BARULHENTOS."
"9";"OS MOVEIS QUANDO NAO ESTAO QUEBRADOS, ESTAO REMENDADOS.CAMAS COM PROTEÇAO LATERAL EMPERRADA SENDO UM PERGIO PARA OS PACIENTES. CADEIRAS COM ENCOSTO E APOIO LATERAL QUEBRADOS E COM ESTOFADO RASGADO. ESSE CORREDOR AO LADO DA ENFERMARIA 15 É MUITO BARULHENTO."
"10";"ASSISTENTE SOCIAL AURILUCIA MUITO MAL EDUCADA. ENTAO PELA FALTA DE PREPARO DELA FIZEMOS UMA DENÚNCIA NO MP. NÓS FAMILIARES ESTAMOS UM MOMENTO DE FRAGILIDADE E ELA NAO RESPEITOU E FOI OBSERVADO A FALTA DE PREPARO DA MESMA."
"11";"MINHA RECLAMAÇAO AS CADEIRAS DE VISITANTE, MEU DEUS. ATÉ FALEI P/ TEC. DE ENFERMAGEM, QUE DEVERIA DEIXAR O DIRETOR OU RESPONSAVEL PARA FICAR MEIA HORA PARA VER A DIFICULDADE. PARA QUEM FICOU O DIA E NOITE NAO É FACIL. OBRIGADA"
"12";"MAIS DE 2 HRS ESPERANDO MAQUEIRO P/ LEVAR PACIENTE URGENTE E NAO APARECEU"
"13";"RECEPCIONISTA POUCO SIMPÁTICAS ( DO NOTURNO) SOBRE A INSTALAÇAO FISÍCA, AS CADEIRAS DE ACOMPANHANTES ESTAO RASGADAS E SAO MUITO BAIXAS E DESCONFORTÁVEIS."
"14";"NEM SEMPRE TEM ROUPA PARA O PACIENTE SENDO PRECISO VESTIR A ROUPA DO DIA ANTERIOR"
"15";"NUTRIÇAO:  FLEXIBILIDADE NAS REFEIÇOES. SÓ SERVEM A REFEIÇAO (LANCHES) COMPLETOS. NAO TEM A POSSIBILIDADE DE PEDIR UM OU SÓ OUTRO ALIMENTO. NAO GOSTO DE DESPERDÍCIO"
"16";""" ALGUMAS ENFERMEIRA DA NOITE NAO SAO MUITO ATENCIOSAS."""
"17";""" TELA DA JANELA ESTA RASGADA"" (ALA B)"
"18";""" CAMA RUIM, MOLHADO COLCHAO"""
"19";""" CAMA MUITO DURA"""
"20";""" GOSTARIA QUE TIVESSE UM BEBEDOURO NA ALA"" (ALA B)"
"21";"""CADEIRA ACOMPANHANTE MUITO RUIM, DESCONFORTAVEL."""
"22";""" ALA  NAO OBERVA A EXECUÇAO DA MEDICAÇAO, TANTO É QUE DISSERAM QUE MINHA ESPOSA RECUSOU AEROSSOL MAS NUNCA MINISTRARAM AEROSSOL NO QUARTO. TINHA FORMIGA E BARATA, CAMA QUEBRADA. (PACIENTE: LEIDIANA TEIXEIRA)"
"23";"COMUNICAÇAO INTERNA NAO ESTA TENDO ENTRE DEPARTAMENTOS (ENFERMARIA, SERVIÇO SOCIAL, NIR, PRINCIPALMENTE LEITO DIA)MUITA PERDA DE TRANSPORTE POR FALTA DE VERIFICAÇAO E CONSEQUENTEMENTE CONSULTAS AGENDADAS EM OUTRO HOSPITAL. FUNDAÇAO BANCO DE OLHOS, CRER, UFG. CHECACHEM DE PROSCEDIMENTO EM OUTRO HOSPITAL. PORISSO PERDE - SE MUITAS CONSULTAS. QUANDO HA O ERRO NINGUEM ASSUME JOGA A CULPA PARA OUTRO DEPARTAMENTO.AS AMBULANCIAS UTI NA MAIORIA DOS CASOS QUE PRECISAMOS FORAM VOLTAS PERDIDAS EM FIM SOMOS SERES HUMANOS SUJEITO A ERRO E COMPREENSIVO OBRIGADO"
"24";"APÓS VÁRIAS SOLICITAÇOES DE ÁGUA PELO O PACIENTE E ACOMPANHANTE FOI RESTRINGIDO SOBRE ALEGAÇAO DE QUE ERAM DEFINIDOS UMA QUANTIDADE LIMITE PELA COORDENAÇAO DO DEPTO. RESPONSÁVEL. SOMENTE APÓS MUITAS LIGAÇOES DA CHEFE DE ENFERMAGEM FORAM ATENDIDAS AS SOLICITAÇOES"
"25";"PARA O ACOMPANHANTE QUE DORME NO HOSPITAL QUEREMOS LUGAR MELHOR PARA DORMIR, POR QUE A CADEIRA QUE TEM AQUI É MUITO DESCONFORTAVEL PARA FICAR DORMINDO, E ACOMPANHA O PACIENTE QUANDO ESTIVE INTERNADO DURANTE SUA RECUPERAÇAO"
"26";"POR CONTA DO CALOR OS PACIENTES ESTAO SOFRENDO, E POR ISSO PRECISAMOS DE AR CONDICIONADO NA SALA E TAMBEM UMA MINIGELADEIRA (FRIGOBAR) PARA COLOCAR A AGUA QUE RECEBEMOS É QUENTE."
"27";"MELHORAR O ATENDIMENTO DA ENFERMAGEM A NOITE BEM COMO DOS DEMAIS FUNCIONÁRIOS QUANTO AO TRATO COM PACIENTES EM HORARIO NOTURNO."
"28";"VC MTO RUIM"
